Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Чижик,супермаркет,Супермаркеты,"улица Генерала Белова, 20",супермаркет Пятёрочка,115583,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,49,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HD2W&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001063409868,55.60818,37.722891,4504235282534239,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001063409868,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Ореховый бульвар, 14 к3",0 этаж,115583,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,311,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001038029319,55.609843,37.720446,4504235282531738,ТРЦ Домодедовский,4504694864742229,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001038029319,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Супер Лента,супермаркет,Супермаркеты,"улица Генерала Белова, 59",,115583,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,13,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058983739,55.602675,37.727011,4504235282531683,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,10,2026-05-05T05:57:05Z,,0,32,https://2gis.com/firm/70000001058983739,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
ВкусВилл,супермаркет,Супермаркеты,"Ореховый бульвар, 14 к1а",1 этаж,,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,84956638602 (горячая линия: пн-вс 9:00-21:00),,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001104012248,55.610392,37.716136,4504235282534604,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,1,8,2026-06-28T05:22:41Z,,0,32,https://2gis.com/firm/70000001104012248,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Монетка,супермаркет,Супермаркеты; Доставка продуктов,"Воронежская улица, 7",1 этаж,115583,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,10,88001008500,,,office@monetka.ru,,,http://www.monetka.ru/?utm_source=2gis&utm_medium=stories,http://t.me/tsmonetka,,,,,,,,,,,https://vk.com/shop_monetka,,,,,,,,,https://t.me/tsmonetka,,,,,,,,,70000001092047800,55.609933,37.727714,4504235282531569,,,36,70000001081591332,Монетка,супермаркет,Супермаркеты,mart,2,12,2026-06-28T03:44:23Z,,0,32,https://2gis.com/firm/70000001092047800,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Ясеневая улица, 30",1 этаж,115583,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,130,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001033356525,55.60437,37.739079,4504235282535167,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,14,2026-07-06T04:34:08Z,,0,32,https://2gis.com/firm/70000001033356525,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ясеневая улица, 40",,115597,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,37,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001033216952,55.608335,37.745835,4504235282535307,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-07-03T09:49:46Z,,0,32,https://2gis.com/firm/70000001033216952,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Пятёрочка,супермаркет,Супермаркеты,"Ореховый бульвар, 14 к1а",1 этаж,,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.7,6,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001103041416,55.610392,37.716136,4504235282534604,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,11,2026-06-22T08:06:55Z,,0,32,https://2gis.com/firm/70000001103041416,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Чижик,супермаркет,Супермаркеты,"улица Генерала Белова, 35",1 этаж,115583,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,138,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA5Y&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001057190926,55.610815,37.723206,4504235282531574,Мебельград,70030076482997662,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001057190926,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Домодедовская улица, 28",1 этаж,115582,,Орехово-Борисово Южное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,148,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908401385,55.604809,37.712294,4504235282533144,Универмаг Белград,70030076734482968,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908401385,branch,50,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726610
