Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Академика Королёва, 8 к3",1 этаж,129515,,Останкинский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,46,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001032672503,55.82209,37.621628,4504235282566625,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:47Z,,0,32,https://2gis.com/firm/70000001032672503,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Академика Королёва, 3",,129515,,Останкинский,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,19,88007777290,84957775190 (доп.7076),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504127908482894,55.820925,37.632566,4504235282569738,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:10Z,,0,32,https://2gis.com/firm/4504127908482894,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Fix Price,магазин низких цен,Продуктовые магазины; Домашний текстиль; Посуда; Хозтовары,"Олонецкая улица, 4а",2 этаж,127273,,Останкинский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,88007752300 (горячая линия),84990093515,,,,,http://fix-price.com,http://rutube.ru/channel/24640051/,http://dzen.ru/fixprice_russia,,,,,,,,,,https://vk.com/fix_price,,,,,,,,,https://t.me/fixprice_russia,,,https://youtube.com/user/fixprice36,,,,,,70000001109752987,55.854083,37.620254,70030076831109787,,,883,70000001062947644,Fix Price,магазин низких цен,Продуктовые магазины,common_store,4,6,2026-06-28T04:22:24Z,,0,32,https://2gis.com/firm/70000001109752987,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Магазин белорусских продуктов,,Продуктовые магазины,"проспект Мира, 119 ст18",1 этаж,129223,,Останкинский,Москва,,Москва,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.4,3,89250653363,,,,,,http://bel-price.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001088852469,55.832011,37.626028,4504235282637314,,,1,70000001088852468,Магазин белорусских продуктов,Магазин белорусских продуктов,Продуктовые магазины,shop,1,4,2026-04-29T14:52:12Z,,0,32,https://2gis.com/firm/70000001088852469,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Магазин продуктов из Армении,,Продуктовые магазины,"проспект Мира, 119 ст68",1 этаж,129223,,Останкинский,Москва,,Москва,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,3.9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001017545044,55.830691,37.63347,4504235282637213,,,1,70000001017545043,Магазин продуктов из Армении,Магазин продуктов из Армении,Продуктовые магазины,shop,1,6,2026-04-27T11:31:39Z,,0,32,https://2gis.com/firm/70000001017545044,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"1-я Останкинская улица, 53",1 этаж,129515,,Останкинский,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (Время продажи алкоголя ограничено.),+03:00,,,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001098079954,55.824148,37.632263,4504235282572434,,70030076689269949,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:22Z,,0,32,https://2gis.com/firm/70000001098079954,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Годовикова, 11 к4",,129085,,Останкинский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001090495792,55.810157,37.62524,70030076201382740,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:29:27Z,,0,32,https://2gis.com/firm/70000001090495792,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Берёзовая аллея, 17 к1",1 этаж,127273,,Останкинский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,22,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001035045580,55.850009,37.617794,4504235316731663,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:53Z,,0,32,https://2gis.com/firm/70000001035045580,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Берёзовая аллея, 19 к1",,127273,,Останкинский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,9,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001085382700,55.8491,37.624111,4504235316729408,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-22T05:28:25Z,,0,32,https://2gis.com/firm/70000001085382700,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
Продуктовый магазин,,Продуктовые магазины,"проспект Мира, 119 ст614",,129223,,Останкинский,Москва,,Москва,Россия,Пн: 09:00-21:30; Вт: 09:00-21:30; Ср: 09:00-21:30; Чт: 09:00-21:30; Пт: 09:00-21:30; Сб: 09:00-21:30; Вс: 09:00-21:30,+03:00,5.0,6,,,,,,,,,,,,,,,,,,,,,,https://wa.me/79263001883,,,,,,,,,,,,,,,70000001019972622,55.828396,37.626519,4504235283046589,,,1,70000001019972621,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,5,2025-11-19T11:35:26Z,,0,32,https://2gis.com/firm/70000001019972622,branch,24,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726572
