Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Чижик,супермаркет,Супермаркеты,"улица Наташи Ковшовой, 8 к1",1 этаж,119361,Очаково м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,20,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HB09&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001094239103,55.681316,37.449009,4504235282622452,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001094239103,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Веерная улица, 24г",1 этаж,119501,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,60,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127915428064,55.70857,37.484813,4504235282564970,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,9,2026-06-25T04:05:44Z,,0,32,https://2gis.com/firm/4504127915428064,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Аминьевское шоссе, 6",-1 этаж; слева от магазина Эльдорадо,119530,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,21,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001042858051,55.706412,37.457593,70030076139339019,МФК Kvartal West,70030076255317618,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-29T22:10:23Z,,0,32,https://2gis.com/firm/70000001042858051,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Веерная улица, 6",1 этаж,119501,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.7,50,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001026680113,55.711572,37.489035,4504235283010595,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,9,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/70000001026680113,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Ярче!,супермаркет,Супермаркеты; Доставка продуктов,"Веерная улица, 3 к2",1 этаж,119501,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001089558438,55.707715,37.48,4504235282564768,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,2,9,2026-06-23T09:20:25Z,,0,32,https://2gis.com/firm/70000001089558438,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Ярче!,супермаркет,Супермаркеты,"Веерная улица, 3 к4",цокольный этаж,119501,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,73,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001030199485,55.706718,37.478626,4504235282564766,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,8,2026-06-23T09:22:28Z,,0,32,https://2gis.com/firm/70000001030199485,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Очаковское шоссе, 3а",2 этаж,119530,Очаково м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,10,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001103478061,55.695088,37.46371,70030076955677917,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:09Z,,0,32,https://2gis.com/firm/70000001103478061,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Матвеевская улица, 2",-1 этаж,119501,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,119,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010567,55.705328,37.479113,4504235282613527,ТЦ Тук-Тук,70030076443534543,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127909010567,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Веерная улица, 46",1 этаж,119501,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,47,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001038332542,55.712825,37.487957,4504235282613062,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:07Z,,0,32,https://2gis.com/firm/70000001038332542,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Нежинская улица, 6 к1",1 этаж,119517,Матвеевское м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,50,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127921036471,55.709538,37.47088,4504235282701906,ТЦ Нежино,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,14,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504127921036471,branch,72,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726632
