Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Шоссейная улица, 22",,109548,,Печатники,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,11,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001087832958,55.686698,37.722497,4504235282606769,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,3,2026-06-21T07:48:54Z,,0,32,https://2gis.com/firm/70000001087832958,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Продуктовый магазин,,Продуктовые магазины,"Угрешская улица, 2 ст135",,115088,,Печатники,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001112815087,55.711116,37.683781,4504235283042172,,,1,70000001112815085,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-03-23T08:09:17Z,,0,32,https://2gis.com/firm/70000001112815087,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Шоссейная улица, 39",1 этаж,109383,,Печатники,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,7,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001037119407,55.676411,37.723388,4504235282606562,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:53Z,,0,32,https://2gis.com/firm/70000001037119407,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"Шоссейная улица, 1/2 ст4",1 этаж,109548,,Печатники,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001113609711,55.692113,37.728336,4504235282664932,ТЦ Сирень,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,4,2026-07-11T04:26:50Z,,0,32,https://2gis.com/firm/70000001113609711,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Продуктовый магазин,,Продуктовые магазины,,,115088,,Печатники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001112770957,55.716833,37.696477,70030076162640235,,,1,70000001112770956,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,5,2026-03-19T09:02:38Z,,0,32,https://2gis.com/firm/70000001112770957,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Продуктовый магазин,,Продуктовые магазины,"Угрешская улица, 2 ст33",1 этаж,115088,,Печатники,Москва,,Москва,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 07:30-21:00,+03:00,3.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001018425071,55.712445,37.689911,4504235282548006,,,3,70000001018425070,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-03-16T11:15:07Z,,0,32,https://2gis.com/firm/70000001018425071,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Около,минимаркет,Продуктовые магазины,"Южнопортовая улица, вл5 ст5",1 этаж,115088,,Печатники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001100260314,55.706453,37.688015,4504235315292129,,,1,70000001100260313,Около,минимаркет,Продуктовые магазины,shop,1,4,2026-03-17T10:53:47Z,,0,32,https://2gis.com/firm/70000001100260314,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Продовольственный магазин,,Продуктовые магазины,"Южнопортовая улица, 7 ст9",,115088,,Печатники,Москва,,Москва,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001035700714,55.706572,37.69044,4504235316164445,,,1,70000001035700713,Продовольственный магазин,Продовольственный магазин,Продуктовые магазины,shop,1,6,2026-03-14T14:39:19Z,,0,32,https://2gis.com/firm/70000001035700714,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Продуктовый магазин,,Продуктовые магазины,"Южнопортовая улица, 13",1 этаж,115088,,Печатники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001019785833,55.709462,37.700444,4504235282547423,,,1,70000001019785832,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-03-14T14:01:09Z,,0,32,https://2gis.com/firm/70000001019785833,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
Продуктовый магазин,,Продуктовые магазины,"Южнопортовая улица, 23 к3 ст1",,115088,,Печатники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001090505350,55.698962,37.713244,4504235282545403,,,1,70000001090505349,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,5,2024-07-26T09:37:15Z,,0,32,https://2gis.com/firm/70000001090505350,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726593
