Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Волоколамское шоссе, 45",,125367,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,45,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,4504128908708880,55.814187,37.468192,4504235282576721,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,15,2026-07-06T14:23:01Z,,0,32,https://2gis.com/firm/4504128908708880,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Чижик,супермаркет,Супермаркеты,"Тушинская улица, 18",1 этаж,125362,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,71,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDK9&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001079676893,55.827509,37.443689,4504235282584415,ТЦ Фермерский Рынок,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001079676893,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Супер Лента,супермаркет,Супермаркеты,"Тушинская улица, 17",-1 этаж,125362,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,143,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058984775,55.82664,37.445342,4504235282571013,ТРЦ Праздник,70030076394441596,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058984775,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Габричевского, 10 к1",1 этаж,125367,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,21,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001026883087,55.816596,37.460402,4504235282572990,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-07-06T17:02:42Z,,0,32,https://2gis.com/firm/70000001026883087,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Светофор,супермаркет,Супермаркеты,"Тушинская улица, 16",2 этаж,125362,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,1.0,1,,,,,,,http://svetofor.market,http://svetoforonline.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001113927812,55.827412,37.44548,4504235282570922,ТЦ Авиатор,70030076823250170,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,4,2026-05-26T10:40:02Z,,0,32,https://2gis.com/firm/70000001113927812,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Пятёрочка,супермаркет,Супермаркеты,"Тушинская улица, 19",1 этаж,125362,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,13,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001089799281,55.827663,37.441423,4504235294339977,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:07:59Z,,0,32,https://2gis.com/firm/70000001089799281,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
ВкусВилл,супермаркет,Супермаркеты,"улица Габричевского, 10/2",1 этаж,125367,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,89266181034,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001083493702,55.816313,37.461425,4504235282572988,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,1,11,2026-07-06T16:54:56Z,,0,32,https://2gis.com/firm/70000001083493702,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Николая Озерова, 2 к1",1 этаж,125424,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001100919365,55.822935,37.434483,70030076588865001,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:06:52Z,,0,32,https://2gis.com/firm/70000001100919365,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Габричевского, 10 к3",1 этаж,125367,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.9,25,88002009555 (многоканальный),,,dir_SAGL@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001029798685,55.815855,37.463079,4504235282572986,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001029798685,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Волоколамское шоссе, 71/13 к1",1 этаж,125424,,Покровское-Стрешнево,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.7,25,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001077239007,55.816163,37.426077,70030076199650457,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:06:40Z,,0,32,https://2gis.com/firm/70000001077239007,branch,54,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726650
