Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Преображенская площадь, 8",1 этаж,107061,,Преображенское,Москва,,Москва,Россия,Пн: 08:00-22:05; Вт: 08:00-22:05; Ср: 08:00-22:05; Чт: 08:00-22:05; Пт: 08:00-22:05; Сб: 08:00-22:05; Вс: 08:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.0,10,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001037785473,55.795098,37.712442,4504235283007663,БЦ ПРЕО8,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:15Z,,0,32,https://2gis.com/firm/70000001037785473,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Большая Черкизовская улица, 30Б",1 этаж,107553,,Преображенское,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,25,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001025797874,55.800082,37.740778,4504235282554533,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:36Z,,0,32,https://2gis.com/firm/70000001025797874,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Преображенская улица, 5/7",1 этаж,107076,,Преображенское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,26,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024369468,55.795591,37.70689,4504235282547594,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:35Z,,0,32,https://2gis.com/firm/70000001024369468,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"3-я улица Бухвостова, 4",1 этаж,107076,,Преображенское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,23,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001029366250,55.800603,37.706965,4504235282547109,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-22T05:28:25Z,,0,32,https://2gis.com/firm/70000001029366250,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Богородский Вал, 6 к1",1 этаж,107076,,Преображенское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001099860213,55.802483,37.704505,4504235283040395,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2025-10-07T11:09:06Z,,0,32,https://2gis.com/firm/70000001099860213,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Преображенская площадь, 7 ст1",1 этаж,107076,,Преображенское,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,24,88007777290,84957775190 (доп.7649),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001020050859,55.795473,37.70854,4504235282559121,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/70000001020050859,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Хромова, 3",1 этаж,107392,,Преображенское,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,10,88007777290,84957775190 (доп.4078),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001065075059,55.799962,37.716537,4504235282544764,жк ReForm,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001065075059,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Точка,,Продуктовые магазины,"Малая Семёновская улица, 5 ст1",1 этаж,107023,,Преображенское,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,,https://wa.me/79685900271,,,,,,,,,,,,,,,70000001049273648,55.78477,37.707013,4504235282559794,,,1,70000001049273647,Точка,,Продуктовые магазины,shop,1,6,2026-06-25T15:33:54Z,,0,32,https://2gis.com/firm/70000001049273648,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
А-Ритэйл,минимаркет,Продуктовые магазины,"улица Электрозаводская, 27 ст8",2 этаж,107023,,Преображенское,Москва,,Москва,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001038114043,55.791536,37.705692,4504235282654335,,,4,70000001021777109,А-Ритэйл,минимаркет,Продуктовые магазины,shop,1,5,2026-02-18T11:52:32Z,,0,32,https://2gis.com/firm/70000001038114043,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Просторная улица, 2",1 этаж,107392,,Преображенское,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,3.0,6,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001037725239,55.804562,37.714232,4504235282543693,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:19Z,,0,32,https://2gis.com/firm/70000001037725239,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726584
