Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Супер Лента,супермаркет,Супермаркеты,"улица Красная Пресня, 23 к Б ст1",1 этаж,123376,,Пресненский,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.7,180,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058979069,55.761655,37.569161,4504235282784320,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,16,2026-07-05T05:38:50Z,,0,32,https://2gis.com/firm/70000001058979069,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Пресненская набережная, 2",2 этаж,123112,,Пресненский,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.2,147,84957500308,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127915779501,55.749685,37.542578,4504235282796239,Афимолл Сити,4504694848573788,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504127915779501,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Васильевская улица, 7",,123056,,Пресненский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,137,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504128908387862,55.771254,37.586717,4504235282748987,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:57Z,,0,32,https://2gis.com/firm/4504128908387862,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Пятёрочка,супермаркет,Супермаркеты,"Большая Грузинская улица, 12",,123242,,Пресненский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,1,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001105396995,55.763541,37.578862,4504235282749902,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,11,2026-06-22T08:06:57Z,,0,32,https://2gis.com/firm/70000001105396995,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Пресненская набережная, 2",1 этаж,123112,,Пресненский,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.4,68,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://max.ru/spar_russia,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001064096671,55.748215,37.538602,4504235282796239,Афимолл Сити,4504694848568457,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,10,2026-07-10T18:55:13Z,,0,32,https://2gis.com/firm/70000001064096671,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Грузинский переулок, 10",1 этаж,123056,,Пресненский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,44,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001080270580,55.77268,37.580423,4504235282747884,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T13:28:22Z,,0,32,https://2gis.com/firm/70000001080270580,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Тишинская площадь, 1 ст1",1 этаж,123056,,Пресненский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,202,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909007057,55.769176,37.583353,4504235282749591,Тишинка,70030076346302913,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127909007057,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"улица Красная Пресня, 24",1 этаж,123376,,Пресненский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,122,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001045869562,55.76208,37.570198,4504235282784815,ДЦ Сибирь,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,13,2026-07-03T15:09:03Z,,0,32,https://2gis.com/firm/70000001045869562,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Пресненская набережная, 12",1 этаж,123112,,Пресненский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,51,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001034318594,55.749725,37.538208,4504235283023073,,70030076368214372,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-07-07T09:27:57Z,,0,32,https://2gis.com/firm/70000001034318594,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
Пятёрочка,супермаркет,Супермаркеты,"Шмитовский проезд, 18",,123317,,Пресненский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,22,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001075801753,55.757147,37.543266,4504235282796988,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,6,2026-06-22T08:06:37Z,,0,32,https://2gis.com/firm/70000001075801753,branch,100,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726539
