Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
#Необходимый,продовольственный магазин,Продуктовые магазины,"улица 40 лет Победы, 27",1 этаж,143915,Балашиха-Парк м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001019454405,55.832129,37.976567,4504235282763623,,,1,70000001019454404,#Необходимый,продовольственный магазин,Продуктовые магазины,shop,1,4,2025-10-20T16:12:01Z,,0,32,https://2gis.com/firm/70000001019454405,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
#ПенноАтмосферно,,Продуктовые магазины; Разливное пиво; Алкогольные напитки,"Заозёрная улица, 22/2",,140101,,,,Раменский муниципальный округ,Московская область,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00 (Время продажи алкоголя ограничено.),+03:00,,,89296336646,,,,,,,,,,,,,,,,,,,,,https://wa.me/79166255683,,,,,,,,,,,,,,,70000001048777508,55.572045,38.292707,70030076263729680,,,1,70000001048777507,#ПенноАтмосферно,,Продуктовые магазины,shop,3,2,2025-05-13T11:30:03Z,,0,32,https://2gis.com/firm/70000001048777508,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
1 Социальный,продуктовый магазин,Продуктовые магазины,,21-4 павильон,143007,Центральный м-н,,Одинцово,Одинцовский городской округ,Московская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001052578939,55.673125,37.278533,4504235305204359,,,1,70000001052578938,1 Социальный,продуктовый магазин,Продуктовые магазины,shop,1,3,2026-04-16T11:03:11Z,,0,32,https://2gis.com/firm/70000001052578939,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
100% Italiano,магазин продуктов из Италии,Продуктовые магазины; Доставка продуктов,"улица Панфилова, 13а ст1",75-76 павильон; 1 этаж,124575,,Силино,Зеленоград,,Москва,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-17:00,+03:00,,,89067595555,,,,,,,,,,,,,,,,,,https://vk.com/zel100italiano,,,https://wa.me/79067595555,,,,,,https://t.me/+79067595555,,,,,,,,,70000001054296896,55.982187,37.172958,70030076150102326,ТЦ Авангард,,1,70000001054296895,100% Italiano,магазин продуктов из Италии,Продуктовые магазины,shop,2,6,2026-07-08T11:12:39Z,,0,32,https://2gis.com/firm/70000001054296896,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
2 шага,магазин продуктов,Продуктовые магазины,"улица Симоновский Вал, 15",1 этаж,115088,,Южнопортовый,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.5,4,89671772312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908428504,55.72232,37.664408,4504235282628217,,,1,4504137598333834,2 шага,магазин продуктов,Продуктовые магазины,shop,1,5,2026-07-03T13:54:33Z,,0,32,https://2gis.com/firm/4504128908428504,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
2 шага,минимаркет,Продуктовые магазины,"Юбилейная улица, 16",1 этаж,141021,16-й м-н,,Мытищи,Мытищи городской округ,Московская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,5.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001019520506,55.913713,37.712807,4504235283115342,,,1,70000001019520505,2 шага,минимаркет,Продуктовые магазины,shop,1,6,2026-03-24T08:29:58Z,,0,32,https://2gis.com/firm/70000001019520506,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
4 друга,гастроном,Продуктовые магазины,"улица Пржевальского, 5",1 этаж,119361,Очаково м-н,Очаково-Матвеевское,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-20:00,+03:00,1.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001029713949,55.681792,37.453716,4504235282590915,,,1,70000001029713948,4 друга,гастроном,Продуктовые магазины,shop,1,4,2025-11-24T16:39:45Z,,0,32,https://2gis.com/firm/70000001029713949,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
50/50,магазин,Продуктовые магазины,"Перхушково село, 4Б",,143081,,,,Одинцовский городской округ,Московская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001103020845,55.655422,37.153161,4504235282881179,,,1,70000001103020844,50/50,магазин,Продуктовые магазины,shop,1,4,2025-07-17T15:26:49Z,,0,32,https://2gis.com/firm/70000001103020845,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
6x9,магазин продуктов,Продуктовые магазины,"Суханово деревня, 7в",,142152,Суханово Вилладж коттеджный пос.,,,Ленинский городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001032222603,55.518195,37.656181,4504235282901478,,,1,70000001032222602,6x9,магазин продуктов,Продуктовые магазины,shop,1,2,2024-11-27T17:31:54Z,,0,32,https://2gis.com/firm/70000001032222603,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
7-eleven,,Продуктовые магазины,"Международное шоссе, ст1е",,141425,,,Химки,Химки городской округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001113015595,55.964907,37.414569,4504235282879500,,,2,70000001113015594,7-eleven,,Продуктовые магазины,shop,1,0,2026-03-31T13:46:13Z,,0,32,https://2gis.com/firm/70000001113015595,branch,7906,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/sort=name
