Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Вернадского проспект, 51 ст2",1 этаж,119415,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,96,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030312445,55.672112,37.508022,4504235283010259,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T12:50:10Z,,0,32,https://2gis.com/firm/70000001030312445,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Вернадского проспект, 39",1 этаж,119415,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,15,89257861237,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001033398883,55.675123,37.505,4504235282596952,БЦ Вернадский,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-07-02T12:07:03Z,,0,32,https://2gis.com/firm/70000001033398883,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Да!,супермаркет,Супермаркеты,"Вернадского проспект, 14",цокольный этаж,119454,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,148,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001069485734,55.676846,37.504655,4504235282596903,РЦ Звёздный,70030077100327155,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,6,2026-06-23T22:59:15Z,,0,32,https://2gis.com/firm/70000001069485734,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Оливье,супермаркет,Супермаркеты,"Вернадского проспект, 39",1 этаж,119415,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 07:00-01:00; Вт: 07:00-01:00; Ср: 07:00-01:00; Чт: 07:00-01:00; Пт: 07:00-01:00; Сб: 07:00-01:00; Вс: 07:00-01:00,+03:00,4.4,264,84952760086,,,,,,http://www.olivier.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127919194596,55.675868,37.506,4504235282596952,БЦ Вернадский,,1,4504136498657788,Оливье,супермаркет,Супермаркеты,mart,1,8,2026-07-02T11:18:50Z,,0,32,https://2gis.com/firm/4504127919194596,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Ярче!,супермаркет,Супермаркеты,"Ленинский проспект, 102",,119415,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,25,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001087516034,55.668119,37.514646,4504235282580232,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,10,2026-06-23T09:21:44Z,,0,32,https://2gis.com/firm/70000001087516034,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Вернадского проспект, 14а",1 этаж,119454,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,21,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127916661680,55.678167,37.507581,4504235282596893,ТЦ Обувь-Сити,70030076500896621,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,11,2026-06-10T03:20:15Z,,0,32,https://2gis.com/firm/4504127916661680,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"улица Удальцова, 1",1 этаж,119415,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.9,83,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001041001694,55.671395,37.516923,4504235283010488,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,13,2026-07-06T02:50:02Z,,0,32,https://2gis.com/firm/70000001041001694,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Удальцова, 42",1 этаж,119607,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,122,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001028827706,55.683664,37.490908,4504235282603881,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001028827706,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Коштоянца, 21а",1 этаж,119454,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,19,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030031762,55.67791,37.490103,4504235282589357,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-28T21:41:52Z,,0,32,https://2gis.com/firm/70000001030031762,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Удальцова, 85 к5",,119454,,Проспект Вернадского,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,24,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908401416,55.681013,37.485778,4504235282604035,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908401416,branch,24,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726631
