Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Пырьева, 24",1 этаж,119285,,Раменки,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.7,26,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909669965,55.729653,37.526959,4504235282611278,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:07:09Z,,0,32,https://2gis.com/firm/4504127909669965,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Дикси,супермаркет,Супермаркеты,"Ломоносовский проспект, 29 к3",1 этаж,119192,Шуваловский Prima жилой комплекс,Раменки,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,95,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908895452,55.704868,37.514497,4504235282609759,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,13,2026-06-25T04:05:44Z,,0,32,https://2gis.com/firm/4504128908895452,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Раменки, 3",1 этаж,119607,,Раменки,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,63,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908463955,55.693535,37.496031,4504235282565848,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908463955,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Пырьева, 16",1 этаж,119285,,Раменки,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,60,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029439880,55.728856,37.523823,4504235282611238,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:07:10Z,,0,32,https://2gis.com/firm/70000001029439880,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"улица Пырьева, 8",1 этаж,119285,,Раменки,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.9,64,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001032556921,55.725947,37.527305,4504235282611384,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-04-23T14:39:10Z,,0,32,https://2gis.com/firm/70000001032556921,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Мичуринский проспект, 36",1 этаж,119192,,Раменки,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,286,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001060380890,55.697491,37.497057,4504235282609945,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,13,2026-07-06T04:34:25Z,,0,32,https://2gis.com/firm/70000001060380890,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Довженко улица, 6",1 этаж,119285,,Раменки,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.1,21,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001030277837,55.723175,37.514347,4504235282607094,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,7,2026-06-22T08:07:10Z,,0,32,https://2gis.com/firm/70000001030277837,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Мичуринский проспект, 9 к3",1 этаж,119192,,Раменки,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.6,20,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909669959,55.700227,37.506165,4504235282603717,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T12:53:15Z,,0,32,https://2gis.com/firm/4504127909669959,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Авоська,супермаркет,Супермаркеты,"3-й Сетуньский проезд, 8",1 этаж,119136,,Раменки,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.5,23,84956567022 (единая справочная: пн-пт 9:00-18:00 ),84957254154 (единая справочная: пн-пт 9:00-18:00),,,,,http://avoska.ru,,,,,,,,,,,,https://vk.com/universam.avoska,,,,,,,,,https://t.me/universam_avoska,,,,,,,,,70000001007214794,55.732776,37.535938,4504235282611611,,,53,4504136498316240,Авоська,супермаркет,Супермаркеты,mart,1,10,2026-05-13T10:03:56Z,,0,32,https://2gis.com/firm/70000001007214794,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
Дикси,супермаркет,Супермаркеты,"Мосфильмовская улица, 2",,119285,,Раменки,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.8,5,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001105132104,55.726112,37.532659,4504235282611596,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,10,2026-06-25T04:05:54Z,,0,32,https://2gis.com/firm/70000001105132104,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726639
