Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Сельскохозяйственная улица, 26",,129226,,Ростокино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,112,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001059240045,55.836579,37.641143,4504235282638764,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/70000001059240045,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Чижик,супермаркет,Супермаркеты,"Сельскохозяйственная улица, 11/5",1 этаж,129226,,Ростокино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,5,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HB90&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001096467047,55.833542,37.642024,4504235282991205,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001096467047,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Вильгельма Пика, 11",-1 этаж,129226,,Ростокино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.9,12,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001096973653,55.844793,37.636863,70030076326249396,Ботаника Молл,70030077058708351,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-07-03T12:36:04Z,,0,32,https://2gis.com/firm/70000001096973653,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Магнит,супермаркет,Супермаркеты,"улица Сергея Эйзенштейна, 6",1 этаж,129226,,Ростокино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,68,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001029700120,55.832246,37.641024,4504235282639261,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,14,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001029700120,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"проспект Мира, 188Б к2",1 этаж,129128,,Ростокино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,42,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001026495229,55.83585,37.658279,4504235295659329,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001026495229,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"проспект Мира, 131 к2",1 этаж,129226,,Ростокино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,41,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001034799681,55.832028,37.651686,4504235282639351,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:35Z,,0,32,https://2gis.com/firm/70000001034799681,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Малахитовая улица, 14 ст1",1-2 этаж,129128,,Ростокино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.0,35,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001026954850,55.829751,37.66607,4504235282588498,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:05:32Z,,0,32,https://2gis.com/firm/70000001026954850,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов; Доставка еды,"Будайская улица, 13",1 этаж,129128,,Ростокино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,8,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001025053690,55.835489,37.66919,4504235282630497,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,3,14,2026-06-22T08:05:32Z,,0,32,https://2gis.com/firm/70000001025053690,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов; Доставка еды,"проспект Мира, 188Б к2",1 этаж,129128,,Ростокино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,37,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001038246190,55.834608,37.657639,4504235295659329,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,3,9,2026-06-22T08:05:35Z,,0,32,https://2gis.com/firm/70000001038246190,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"улица Бажова, 4",1 этаж,129128,,Ростокино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,24,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001089054932,55.831013,37.659372,4504235282630558,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,10,2026-07-02T13:01:04Z,,0,32,https://2gis.com/firm/70000001089054932,branch,22,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726558
