Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"2-й Грайвороновский проезд, 44 к3",1 этаж,109518,,Рязанский,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,1.9,16,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001075053355,55.725824,37.750493,70030076194632993,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:00:50Z,,0,32,https://2gis.com/firm/70000001075053355,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Чижик,супермаркет,Супермаркеты,"2-й Грайвороновский проезд, 44 к1",1 этаж,109518,,Рязанский,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.9,59,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDBD&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001065938587,55.725109,37.745786,70030076167524371,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,4,2026-07-05T12:25:11Z,,0,32,https://2gis.com/firm/70000001065938587,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"улица Коновалова, 5",,109428,,Рязанский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,47,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908390837,55.729782,37.760932,4504235282585941,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,9,2026-06-25T04:05:57Z,,0,32,https://2gis.com/firm/4504128908390837,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Волжский бульвар, 7",1 этаж,109125,,Рязанский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,318,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001031001290,55.71667,37.74561,70030076157297425,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,14,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001031001290,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
ВкусВилл,супермаркет,Супермаркеты; Доставка еды,"2-й Грайвороновский проезд, 44 к1",1 этаж,109518,,Рязанский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,5,89261772140,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001057056957,55.726295,37.746564,70030076167524371,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,2,17,2026-06-30T11:57:38Z,,0,32,https://2gis.com/firm/70000001057056957,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Рязанский проспект, 6а",,109428,,Рязанский,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.3,60,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001069632765,55.726733,37.752326,70030076242326348,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001069632765,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"2-й Грайвороновский проезд, 44 к2",1 этаж,109518,,Рязанский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.4,10,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001059814414,55.725473,37.747768,70030076179324941,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:35Z,,0,32,https://2gis.com/firm/70000001059814414,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Чижик,супермаркет,Супермаркеты,"Рязанский проспект, 14 ст2",,109428,,Рязанский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,5,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HBWF&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001109641101,55.724791,37.762756,4504235282608386,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,4,2026-07-05T12:23:16Z,,0,32,https://2gis.com/firm/70000001109641101,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Рязанский проспект, 28 ст1",1 этаж,109428,,Рязанский,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.6,74,84956600505,,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909010578,55.719338,37.778791,4504235282640144,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127909010578,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
Ярче!,супермаркет,Супермаркеты,"улица Михайлова, 30а к4",1 этаж,109428,,Рязанский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,32,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001083761659,55.723542,37.775678,70030076178152218,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,8,2026-06-24T14:57:42Z,,0,32,https://2gis.com/firm/70000001083761659,branch,62,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726595
