Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Петровско-Разумовский проезд, 2",1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,31,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001028779731,55.791967,37.570652,4504235282644628,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:42Z,,0,32,https://2gis.com/firm/70000001028779731,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Юннатов, 7",1 этаж,127083,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,37,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001027421906,55.7987,37.562514,4504235282677460,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:38Z,,0,32,https://2gis.com/firm/70000001027421906,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Башиловская улица, 1 к1",1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.7,33,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001038175866,55.792901,37.576922,4504235282535895,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:11Z,,0,32,https://2gis.com/firm/70000001038175866,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Бутырская улица, 11",1 этаж,127015,,Савёловский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.7,6,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001092803222,55.795923,37.583566,4504235282586138,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:29:28Z,,0,32,https://2gis.com/firm/70000001092803222,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Башиловская улица, 19",,127287,,Савёловский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.6,6,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001095568209,55.79973,37.575494,4504235282535827,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,3,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001095568209,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Петровско-Разумовский проезд, 24 к4",цокольный этаж,127287,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.1,6,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001087523404,55.803423,37.56444,4504235282643877,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:16Z,,0,32,https://2gis.com/firm/70000001087523404,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Башиловская улица, 26",1 этаж,127287,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.3,24,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024369181,55.804533,37.574585,4504235282535722,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-26T05:10:28Z,,0,32,https://2gis.com/firm/70000001024369181,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Башиловская улица, 1 к1",1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.7,25,88007777290,84957775190 (доп.7680),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001020627887,55.793046,37.57689,4504235282535895,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:10Z,,0,32,https://2gis.com/firm/70000001020627887,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Около,минимаркет,Продуктовые магазины,"Вятская улица, 41 ст4",,127015,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89032940777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127916685074,55.799805,37.581907,4504235283023750,,,1,4504136499470186,Около,минимаркет,Продуктовые магазины,shop,1,6,2026-03-11T12:42:49Z,,0,32,https://2gis.com/firm/4504127916685074,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
Дары Армении,магазин продуктов,Продуктовые магазины,"1-я Квесисская улица, 18",1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89854468787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001100852468,55.794453,37.578929,4504235282644749,,70030076370377033,1,70000001100852467,Дары Армении,магазин продуктов,Продуктовые магазины,shop,1,4,2026-04-21T11:23:36Z,,0,32,https://2gis.com/firm/70000001100852468,branch,10,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726548
