Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Дикси,супермаркет,Супермаркеты,"улица Нижняя Масловка, 8",1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.1,73,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908470078,55.792467,37.579317,4504235282535914,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,11,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/4504128908470078,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Светофор,супермаркет,Супермаркеты,"1-я Квесисская улица, 18",-1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,5,89646227761,,,,,,http://msk-kvesisskaya.svetoforonline.ru/content/kontakti,http://msk-kvesisskaya.svetoforonline.ru,http://svetoforonline.ru/content/kontakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001100846635,55.794238,37.578847,4504235282644749,,70030076370411114,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,5,2026-06-23T05:29:19Z,,0,32,https://2gis.com/firm/70000001100846635,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Верхняя Масловка, 28",1 этаж,127083,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,16,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001083263745,55.799146,37.559355,4504235283016081,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:47Z,,0,32,https://2gis.com/firm/70000001083263745,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Башиловская улица, 12",1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,66,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001032494915,55.797052,37.576635,4504235282645877,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:03Z,,0,32,https://2gis.com/firm/70000001032494915,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Башиловская улица, 28 к9",,127287,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,47,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001032547759,55.805149,37.574206,4504235282643982,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:04Z,,0,32,https://2gis.com/firm/70000001032547759,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Бутырская улица, 15",1 этаж,127015,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,61,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029284809,55.797876,37.583348,4504235282586145,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:00Z,,0,32,https://2gis.com/firm/70000001029284809,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Да!,супермаркет,Супермаркеты,"улица Нижняя Масловка, 10",-1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.6,32,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001089746549,55.792355,37.578122,70030076194818067,РЦ Прага,,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,7,2026-06-24T06:25:03Z,,0,32,https://2gis.com/firm/70000001089746549,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Верхняя Масловка, 4",1 этаж,127083,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,16,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001027294354,55.792527,37.567991,4504235282644211,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:05:00Z,,0,32,https://2gis.com/firm/70000001027294354,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Петровско-Разумовский проезд, 24 к3",1 этаж,127287,,Савёловский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,15,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029850116,55.802819,37.564092,4504235282643874,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:03Z,,0,32,https://2gis.com/firm/70000001029850116,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
Магнит,супермаркет,Супермаркеты,"Петровско-Разумовский проезд, 2",1 этаж,127220,,Савёловский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,57,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,4504128908543953,55.79206,37.570152,4504235282644628,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/4504128908543953,branch,35,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726548
