Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"бульвар Дмитрия Донского, 2а",,117628,,Северное Бутово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,80,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001045579910,55.569548,37.575162,4504235282736995,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:27Z,,0,32,https://2gis.com/firm/70000001045579910,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Магнит,супермаркет,Супермаркеты,"улица Знаменские Садки, 1а",1 этаж,117628,,Северное Бутово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,50,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001031471260,55.571984,37.574354,4504235283109668,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,15,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/70000001031471260,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"Старокачаловская улица, 1Б",1 этаж,117216,,Северное Бутово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,33,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAD0&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001082679405,55.568834,37.585605,4504235282737751,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,8,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001082679405,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"улица Грина, 1г",,117216,,Северное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.9,34,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127908974522,55.561597,37.583162,4504235282728542,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,13,2026-06-25T04:05:46Z,,0,32,https://2gis.com/firm/4504127908974522,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Старокачаловская улица, 1Б",1 этаж,117216,,Северное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,178,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127916995482,55.568834,37.585605,4504235282737751,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127916995482,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Чеснок,дискаунтер,Супермаркеты,"улица Поляны, 8",1 этаж,117216,,Северное Бутово,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,76,89160286720,89639671065,,,,,http://t.me/chesnok_rf,http://max.ru/chesnok_rf,,,,,,,,,,,https://vk.com/chesnok_rf,,,,,,,,,https://t.me/chesnok_rf,,,,,,,,,70000001085339787,55.565395,37.555444,4504235283016330,ТЦ Вива!,4504694874734947,3,70000001081020282,Чеснок,дискаунтер,Супермаркеты,mart,1,6,2026-06-23T09:31:49Z,,0,32,https://2gis.com/firm/70000001085339787,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"бульвар Дмитрия Донского, 9 к1",,117216,,Северное Бутово,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.2,27,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909885107,55.568395,37.577214,4504235282737675,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:07:39Z,,0,32,https://2gis.com/firm/4504127909885107,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"бульвар Дмитрия Донского, 1",цокольный этаж,117628,,Северное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.6,24,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001087716967,55.575129,37.580316,4504235283007906,ТРЦ Северное Сияние,70030076278289193,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:09Z,,0,32,https://2gis.com/firm/70000001087716967,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Грина, 7",1 этаж,117216,,Северное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,149,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908401383,55.567477,37.569191,4504235282737156,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908401383,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
Чижик,супермаркет,Супермаркеты,"Куликовская улица, 3",,117628,,Северное Бутово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,26,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAH7&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001083473228,55.571384,37.56462,4504235282736992,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001083473228,branch,37,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726618
