Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Чижик,супермаркет,Супермаркеты,"3-я Парковая улица, 53",,105425,,Северное Измайлово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,9,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HB9C&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001096763871,55.804208,37.781328,4504235282538298,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001096763871,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Щёлковское шоссе, 8",1 этаж,105122,,Северное Измайлово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,96,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001030570127,55.804448,37.761416,4504235282545096,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,10,2026-06-10T03:20:06Z,,0,32,https://2gis.com/firm/70000001030570127,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Щёлковское шоссе, 4",1 этаж,105122,,Северное Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,52,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001025261028,55.803992,37.759705,4504235282545093,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:20Z,,0,32,https://2gis.com/firm/70000001025261028,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"3-я Парковая улица, 57",1 этаж,105425,,Северное Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,129,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001054601001,55.805385,37.780552,70030076245527326,ТЦ Парковый,70030076780297186,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001054601001,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Сиреневый бульвар, 31",-1 этаж,105215,,Северное Измайлово,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.6,188,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001057763667,55.804018,37.801413,70030076168465423,РЦ София,70030076347955132,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001057763667,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Щёлковское шоссе, 26Б",1 этаж,105425,,Северное Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,67,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001019221222,55.809356,37.781251,4504235283165732,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:16Z,,0,32,https://2gis.com/firm/70000001019221222,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Сиреневый бульвар, 1 к5",1 этаж,105122,,Северное Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,58,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001020499951,55.802881,37.764188,4504235282538859,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:22Z,,0,32,https://2gis.com/firm/70000001020499951,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Дикси,супермаркет,Супермаркеты,"Щёлковское шоссе, 12 к1",1 этаж,105122,,Северное Измайлово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,150,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908767040,55.80651,37.770166,4504235282538828,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,13,2026-06-25T04:05:54Z,,0,32,https://2gis.com/firm/4504128908767040,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Чижик,супермаркет,Супермаркеты,"9-я Парковая улица, 68 к5",2 этаж,105215,,Северное Измайлово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.7,2,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HBNQ&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001104892775,55.808224,37.799383,4504235312024549,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:14Z,,0,32,https://2gis.com/firm/70000001104892775,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
Супер Лента,супермаркет,Супермаркеты,"9-я Парковая улица, 68 к5",1 этаж,105215,,Северное Измайлово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.7,91,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001061727358,55.808224,37.799383,4504235312024549,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-07-05T05:33:12Z,,0,32,https://2gis.com/firm/70000001061727358,branch,43,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726583
