Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Челобитьевское шоссе, 10 к3",,127495,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,1.4,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001089781591,55.913328,37.555142,4504235282975744,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-07-08T04:03:43Z,,0,32,https://2gis.com/firm/70000001089781591,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Дмитровское шоссе, 124а",,127495,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001096950936,55.925978,37.550295,4504235312076926,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:03Z,,0,32,https://2gis.com/firm/70000001096950936,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Дмитровское шоссе, 169 к6",,127204,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,7,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001088233440,55.929063,37.541693,4504235305284634,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:58Z,,0,32,https://2gis.com/firm/70000001088233440,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Дмитровское шоссе, 165д к4",,127495,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001085786542,55.922667,37.542805,4504235282976846,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:46Z,,0,32,https://2gis.com/firm/70000001085786542,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"бульвар Академика Ландау, 5 к1",,127495,,Северный,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,4,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001089871376,55.920485,37.55648,4504235316737409,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:27Z,,0,32,https://2gis.com/firm/70000001089871376,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Дмитровское шоссе, 169 к4",1 этаж,127204,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,17,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001081579888,55.932107,37.544654,4504235321581768,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:45Z,,0,32,https://2gis.com/firm/70000001081579888,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"бульвар Академика Ландау, 3",1 этаж,127495,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,28,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001057266915,55.920354,37.553349,4504235299311802,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:12Z,,0,32,https://2gis.com/firm/70000001057266915,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Градусы,магазин алкогольных напитков,Продуктовые магазины; Алкогольные напитки,"Дмитровское шоссе, 169 к7",1 этаж,127204,,Северный,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.4,12,88162681221 (доп.доп.6131),,,,,,http://gradusi.net,,,,,,,,,,,,https://vk.com/gradusimarket,,,,,,,,,https://t.me/gradusimarket,,,,,,,,,70000001057162495,55.929623,37.540182,4504235305284657,,,60,70000001047328890,Градусы,магазин алкогольных напитков,Продуктовые магазины,shop,2,6,2026-06-05T05:33:27Z,,0,32,https://2gis.com/firm/70000001057162495,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки; Табачные изделия и товары для курения,"Дмитровское шоссе, 169 к1",,127204,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001100055104,55.929946,37.544933,4504235312081348,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,common_store,3,5,2026-06-21T07:49:05Z,,0,32,https://2gis.com/firm/70000001100055104,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Челобитьевское шоссе, 14 к5",,127495,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,6,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001083282223,55.911992,37.556029,4504235282975930,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-07-08T04:03:45Z,,0,32,https://2gis.com/firm/70000001083282223,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Челобитьевское шоссе, 10а",1 этаж,127495,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,50,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001034530513,55.914018,37.556794,4504235321213841,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-07-08T04:03:43Z,,0,32,https://2gis.com/firm/70000001034530513,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Армения,магазин продуктов,Продуктовые магазины,"Дмитровское шоссе, 165 к1","3H83, 3H82 павильон; 3 этаж",127495,,Северный,Москва,,Москва,Россия,Пн: 06:00-19:00; Вт: 06:00-19:00; Ср: 06:00-19:00; Чт: 06:00-19:00; Пт: 06:00-19:00; Сб: 06:00-19:00; Вс: 06:00-19:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001029485813,55.914315,37.540224,4504235283003944,Бухта,70030076395950271,3,70000001075520547,Армения,магазин продуктов,Продуктовые магазины,shop,1,6,2026-06-19T13:48:38Z,,0,32,https://2gis.com/firm/70000001029485813,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки; Табачные изделия и товары для курения,"Дмитровское шоссе, 169 к1",,127204,,Северный,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001100055104,55.929946,37.544933,4504235312081348,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,common_store,3,5,2026-06-21T07:49:05Z,,0,32,https://2gis.com/firm/70000001100055104,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
Первым делом,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Челобитьевское шоссе, 12 к4",1 этаж,127495,,Северный,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,89315903049,88003014801,,,,,,,,,,,,,,,,,https://vk.com/pervimdelom.market,,,,,,,,,,,,,,,,,,70000001022075204,55.912168,37.549693,4504235282975790,,,1,70000001022075203,Первым делом,продуктовый магазин,Продуктовые магазины,shop,2,6,2025-10-16T08:56:08Z,,0,32,https://2gis.com/firm/70000001022075204,branch,33,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726573
