Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты,"улица Суворова, ст1",,140101,Дергаево-2 коттеджный пос.,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001113713054,55.579224,38.276042,70030077150531732,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,2,2026-06-22T08:08:12Z,,0,32,https://2gis.com/firm/70000001113713054,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Молодёжная улица, ст23а",,140103,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,14,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001080067524,55.591714,38.253136,70030076397523410,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,12,2026-07-02T13:01:55Z,,0,32,https://2gis.com/firm/70000001080067524,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"Молодёжная улица, 20",1 этаж,140103,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,15,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,70000001023957802,55.590157,38.251751,4504235283326992,ТЦ Молодёжный,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,9,2026-03-25T08:47:03Z,,0,32,https://2gis.com/firm/70000001023957802,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Верный,универсам,Супермаркеты,"Молодёжная улица, 24",,140103,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,40,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001023956738,55.592697,38.25374,4504235283327084,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,1,8,2026-07-09T15:25:39Z,,0,32,https://2gis.com/firm/70000001023956738,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Пятёрочка,супермаркет,Супермаркеты,"Донинское шоссе, 42а",,140103,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001089731301,55.598756,38.262681,70030076682319991,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,5,2026-06-22T08:07:59Z,,0,32,https://2gis.com/firm/70000001089731301,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Магнит,супермаркет,Супермаркеты,"2-я Серебряная улица, 2",,140101,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001104978926,55.577319,38.284917,70030077110199312,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,3,2026-07-02T13:01:16Z,,0,32,https://2gis.com/firm/70000001104978926,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Молодёжная улица, 26в",1 этаж,140103,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,19,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001062278275,55.594265,38.254684,70030076181129289,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,12,2026-07-06T05:47:27Z,,0,32,https://2gis.com/firm/70000001062278275,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Дергаевская улица, 32",1 этаж,140103,МЖК м-н,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,48,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001023943268,55.580066,38.242502,4504235283381455,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,10,2026-06-25T04:05:57Z,,0,32,https://2gis.com/firm/70000001023943268,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Дергаевская улица, 32",1 этаж,140103,МЖК м-н,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.5,9,89269812455,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001033206350,55.580489,38.242882,4504235283381455,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:32Z,,0,32,https://2gis.com/firm/70000001033206350,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Верный,универсам,Супермаркеты,"Дергаевская улица, 36",1 этаж,140103,МЖК м-н,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,5,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001047387336,55.581791,38.244339,4504235283381177,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,1,8,2026-07-09T15:25:44Z,,0,32,https://2gis.com/firm/70000001047387336,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
Верный,универсам,Супермаркеты,"улица Ивана Новикова, ст21",,140105,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,4,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001082355909,55.586138,38.254795,70030076331004014,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,1,0,2026-07-09T15:24:57Z,,0,32,https://2gis.com/firm/70000001082355909,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
ВкусВилл,супермаркет,Супермаркеты,"Молодёжная улица, 26а",1 этаж,140103,,Северный район,Раменское,Раменский муниципальный округ,Московская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,89299146186,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001100782217,55.593497,38.25532,70030076181129267,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,1,7,2026-06-28T05:22:40Z,,0,32,https://2gis.com/firm/70000001100782217,branch,12,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=70030076948022523
