Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"улица Гоголя, 2",,124575,,Силино,Зеленоград,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001113149053,55.983282,37.174103,4504235283024233,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,0,2026-07-11T04:26:50Z,,0,32,https://2gis.com/firm/70000001113149053,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Зеленоград, к1204",1 этаж,124460,12-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,17,88007777290,84957775190 (доп.4716),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001023765270,55.996188,37.191219,4504235282864204,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,6,2026-07-09T13:23:10Z,,0,32,https://2gis.com/firm/70000001023765270,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Гоголя, 2",1 этаж,124575,,Силино,Зеленоград,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001095040473,55.983282,37.174103,4504235283024233,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001095040473,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Зеленоград, к1129",,124460,11-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,20,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001045036001,55.997122,37.179391,4504235282864427,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:17Z,,0,32,https://2gis.com/firm/70000001045036001,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Зеленоград, к1126",,124460,11-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,6,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001074397329,55.996726,37.176811,4504235282873760,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001074397329,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Магазин белорусских продуктов,,Продуктовые магазины,"улица Панфилова, 30",1 этаж,124575,,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+03:00,,,89035927799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001060739127,55.98298,37.172968,4504235282867890,,,1,70000001060739126,Магазин белорусских продуктов,Магазин белорусских продуктов,Продуктовые магазины,shop,1,5,2026-07-11T08:54:04Z,,0,32,https://2gis.com/firm/70000001060739127,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Продуктовый магазин,ИП Дружнова О.И.,Продуктовые магазины,"Зеленоград, к1014",1 этаж,124575,10-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001040134716,55.988445,37.172473,4504235282864952,,,1,70000001040134715,"Продуктовый магазин, ИП Дружнова О.И.",Продуктовый магазин,Продуктовые магазины,shop,1,4,2025-10-24T11:50:09Z,,0,32,https://2gis.com/firm/70000001040134716,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Хлеб и Торты,продуктовый магазин,Продуктовые магазины,"Генерала Алексеева проспект, 44 ст5",1 этаж,124460,,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-17:00,+03:00,3.8,3,89253848250 (доп.3355),,,,,,http://cheremushki.shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127921786413,56.012557,37.161519,4504235282882965,,,1,4504137598402660,Хлеб и Торты,продуктовый магазин,Продуктовые магазины,shop,1,7,2026-05-13T08:35:02Z,,0,32,https://2gis.com/firm/4504127921786413,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Крюковская площадь, 1",1 этаж,124575,,Силино,Зеленоград,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,19,88007777290,84957775190 (доп.4133),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001081268995,55.982654,37.175456,4504235282867796,ТРЦ Иридиум,70030076414812724,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001081268995,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
100% Italiano,магазин продуктов из Италии,Продуктовые магазины; Доставка продуктов,"улица Панфилова, 13а ст1",75-76 павильон; 1 этаж,124575,,Силино,Зеленоград,,Москва,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-17:00,+03:00,,,89067595555,,,,,,,,,,,,,,,,,,https://vk.com/zel100italiano,,,https://wa.me/79067595555,,,,,,https://t.me/+79067595555,,,,,,,,,70000001054296896,55.982187,37.172958,70030076150102326,ТЦ Авангард,,1,70000001054296895,100% Italiano,магазин продуктов из Италии,Продуктовые магазины,shop,2,6,2026-07-08T11:12:39Z,,0,32,https://2gis.com/firm/70000001054296896,branch,12,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726656
