Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"улица Гоголя, 2",1 этаж,124575,,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,29,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001089436349,55.983282,37.174103,4504235283024233,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,11,2026-07-02T13:04:08Z,,0,32,https://2gis.com/firm/70000001089436349,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Чижик,супермаркет,Супермаркеты,"улица Панфилова, 28Б ст1",,124575,,Силино,Зеленоград,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,10,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HB8C&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001096768474,55.982944,37.172002,4504235282867705,ТЦ Центурион,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,1,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001096768474,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Супер Лента,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к1006а",1 этаж,124575,10-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.7,20,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058979586,55.983908,37.176494,4504235282865268,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,2,9,2026-05-05T05:57:05Z,,0,32,https://2gis.com/firm/70000001058979586,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к1001Б",1 этаж,124575,10-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,56,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001051448335,55.987815,37.182185,70030076150312666,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:11Z,,0,32,https://2gis.com/firm/70000001051448335,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Панфилова, 30",1 этаж; центр Крытый рынок,124575,,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.2,20,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127915519773,55.982624,37.17371,4504235282867890,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:41Z,,0,32,https://2gis.com/firm/4504127915519773,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к1143а",1 этаж,124460,11-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,32,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001019058004,55.992898,37.173562,4504235282864855,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,8,2026-06-22T08:05:46Z,,0,32,https://2gis.com/firm/70000001019058004,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Дикси,супермаркет,Супермаркеты,"Зеленоград, к1204",1 этаж,124460,12-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,87,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001059082304,55.994882,37.190041,4504235282864204,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,12,2026-06-25T04:06:00Z,,0,32,https://2gis.com/firm/70000001059082304,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к1133",,124460,11-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.3,3,88001011001,,,,,,http://dixy.ru,http://t.me/dixy_russia,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,,,,https://youtube.com/user/dixychannel,,,,,,70000001094723541,55.995053,37.173572,4504235282864736,,,31,70000001089420579,Дикси,супермаркет,Супермаркеты,mart,2,7,2026-06-28T11:47:35Z,,0,32,https://2gis.com/firm/70000001094723541,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Продскладъ,супермаркет,Супермаркеты,"Зеленоград, к1106",,124460,11-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,1,89099061330,,,,,,http://prodsk.ru,,,,,,,,,,,,https://vk.com/prodsklad1,,,https://wa.me/79099061330,,,,,,,,,,,,,,,70000001059689961,55.996223,37.189225,4504235282863842,,,3,70000001053697274,Продскладъ,супермаркет,Супермаркеты,mart,1,8,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001059689961,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоград, к1104",1 этаж,124460,11-й м-н,Силино,Зеленоград,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,110,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001026133846,55.994797,37.188351,4504235282988883,ТЦ Ольга,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:05:46Z,,0,32,https://2gis.com/firm/70000001026133846,branch,16,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726656
