Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Новопесчаная улица, 18",1 этаж,125252,,Сокол,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,41,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001046091852,55.794614,37.510641,4504235282685706,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:16Z,,0,32,https://2gis.com/firm/70000001046091852,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 75 к1",цокольный этаж,125057,,Сокол,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.4,6,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001090421960,55.805317,37.510884,4504235282637315,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:54Z,,0,32,https://2gis.com/firm/70000001090421960,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Волоколамское шоссе, 3",цокольный этаж,125080,,Сокол,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001040086119,55.806522,37.503319,4504235282637164,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:19Z,,0,32,https://2gis.com/firm/70000001040086119,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Волоколамское шоссе, 6",1 этаж,125080,,Сокол,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,12,88007777290,84957775190 (доп.7065),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504127908482901,55.808414,37.499964,4504235282637712,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:10Z,,0,32,https://2gis.com/firm/4504127908482901,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Продуктовый магазин,,Продуктовые магазины,"3-я Песчаная улица, 3",1 этаж,125252,,Сокол,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,84991575347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127916829778,55.793406,37.516765,4504235282685599,,,1,4504136499484600,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2025-10-01T12:17:44Z,,0,32,https://2gis.com/firm/4504127916829778,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 69 ст1",1 этаж,125057,,Сокол,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,34,88007777290,84957775190 (доп.4741),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001026072766,55.802669,37.517657,4504235282687230,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:08Z,,0,32,https://2gis.com/firm/70000001026072766,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Фермер,гастроном,Продуктовые магазины,"Новопесчаная улица, 21 к1",,125252,,Сокол,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (администрация: пн-пт 10:00-19:00),+03:00,,,89993331975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001087237029,55.794585,37.511773,4504235282685600,,,3,70000001088173049,Фермер,гастроном,Продуктовые магазины,shop,1,4,2026-02-24T11:28:50Z,,0,32,https://2gis.com/firm/70000001087237029,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Фермер,продуктовый магазин,Продуктовые магазины,"Новопесчаная улица, 18",1 этаж,125252,,Сокол,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908606140,55.794861,37.51101,4504235282685706,,,1,4504137598446774,Фермер,продуктовый магазин,Продуктовые магазины,shop,1,6,2026-02-24T13:18:17Z,,0,32,https://2gis.com/firm/4504128908606140,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Сокол,гастроном,Продуктовые магазины; Алкогольные напитки,"Ленинградский проспект, 75",1 этаж,125057,,Сокол,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-19:00 (Время продажи алкоголя ограничено.),+03:00,2.7,3,84991588441,84991571071,84991570645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127908829082,55.80464,37.51382,4504235282637315,,,1,4504136498532862,Сокол,гастроном,Продуктовые магазины,shop,2,6,2026-07-08T15:57:32Z,,0,32,https://2gis.com/firm/4504127908829082,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Продуктовый магазин,,Продуктовые магазины,"улица Алабяна, 10 к2",1 этаж,125080,,Сокол,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001025609060,55.800213,37.50389,4504235282682313,,,1,70000001025609059,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,5,2026-03-06T13:23:52Z,,0,32,https://2gis.com/firm/70000001025609060,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
Русмаркет,продуктовый магазин,Продуктовые магазины; Разливное пиво,"Новопесчаная улица, 14",1 этаж,125252,,Сокол,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (Время продажи алкоголя ограничено.),+03:00,3.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001060631234,55.796659,37.512306,4504235282685848,,,1,70000001060631233,Русмаркет,продуктовый магазин,Продуктовые магазины,shop,2,8,2026-07-10T14:34:09Z,,0,32,https://2gis.com/firm/70000001060631234,branch,18,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726552
