Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты,"Сокольническая площадь, 9а",-1 этаж,107014,,Сокольники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,28,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001082052854,55.790349,37.679864,4504235282562409,ТЦ Престиж-М,70030076483026263,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:07:47Z,,0,32,https://2gis.com/firm/70000001082052854,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Магнит,супермаркет,Супермаркеты,"улица Лобачика, 23 к1",1 этаж,107113,,Сокольники,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,80,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001029336449,55.789642,37.665884,4504235282562596,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,13,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001029336449,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Чижик,супермаркет,Супермаркеты,"Сокольническая площадь, 9",цокольный этаж,107014,,Сокольники,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,7,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HCA4&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001113895159,55.79025,37.680323,4504235282561433,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:16Z,,0,32,https://2gis.com/firm/70000001113895159,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Русаковская улица, 31",1 этаж,107113,,Сокольники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,74,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001037879123,55.788532,37.678459,4504235282562272,ЖК Дом в Сокольниках,70030076483199754,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,9,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001037879123,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Супер Лента,супермаркет,Супермаркеты,"Колодезный переулок, 3",1 этаж,107076,,Сокольники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,73,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058985077,55.798162,37.697269,4504235282560248,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-06-15T13:38:26Z,,0,32,https://2gis.com/firm/70000001058985077,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Пятёрочка,супермаркет,Супермаркеты,"улица Сокольнический Вал, вл1д",,107113,,Сокольники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.3,6,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001096764046,55.79416,37.653171,70030076281626161,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:06:48Z,,0,32,https://2gis.com/firm/70000001096764046,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Чижик,супермаркет,Супермаркеты,"Егерская улица, 1",цокольный этаж,107014,,Сокольники,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.1,7,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HB3A&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001096763877,55.793173,37.68342,4504235282558483,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,1,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001096763877,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Магнит,супермаркет,Супермаркеты,"улица Шумкина, 10",,107113,,Сокольники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,32,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001023620383,55.790186,37.665089,4504235282562607,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:01:42Z,,0,32,https://2gis.com/firm/70000001023620383,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Пятёрочка,супермаркет,Супермаркеты,"Русаковская улица, 25 ст1",,107113,,Сокольники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,13,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001092823181,55.786466,37.676606,4504235283015813,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,12,2026-06-22T08:08:03Z,,0,32,https://2gis.com/firm/70000001092823181,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"Русаковская улица, 22",1 этаж,107014,,Сокольники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,37,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127909394264,55.786353,37.678347,4504235282561951,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,9,2026-06-04T12:12:02Z,,0,32,https://2gis.com/firm/4504127909394264,branch,31,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726582
