Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Строгинский бульвар, 26 к2",,123592,,Строгино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,65,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001054151622,55.802591,37.403235,4504235282559950,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-09T10:55:28Z,,0,32,https://2gis.com/firm/70000001054151622,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Исаковского, 2 к1",вход с торца,123181,,Строгино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,23,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001069444566,55.818604,37.3979,4504235282635074,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:42Z,,0,32,https://2gis.com/firm/70000001069444566,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Бристоль,магазин у дома,Продуктовые магазины,"Таллинская улица, 9",1 этаж,123458,,Строгино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,25,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001087637113,55.799823,37.396866,4504235282559908,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,1,4,2026-07-07T13:55:44Z,,0,32,https://2gis.com/firm/70000001087637113,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Строгинский бульвар, 21",1 этаж,123592,,Строгино,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,83,88007777290,84957775190 (доп.7018),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504127908482916,55.803567,37.406659,4504235282551187,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,6,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/4504127908482916,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"улица Маршала Катукова, 17 к1",,123181,,Строгино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001113394307,55.807915,37.407978,4504235282551726,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,3,2026-07-11T04:26:50Z,,0,32,https://2gis.com/firm/70000001113394307,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Твардовского, 2 к4 ст1",1 этаж,123458,,Строгино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001111030766,55.799099,37.38933,4504235283034374,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:24Z,,0,32,https://2gis.com/firm/70000001111030766,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Продуктовый магазин,,Продуктовые магазины,"улица Исаковского, 20 к1",цокольный этаж; вход с торца,123181,,Строгино,Москва,,Москва,Россия,Пн: 08:00-22:50; Вт: 08:00-22:50; Ср: 08:00-22:50; Чт: 08:00-22:50; Пт: 08:00-22:50; Сб: 08:00-22:50; Вс: 08:00-22:50,+03:00,4.7,6,84957506601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908610412,55.811192,37.411996,4504235282551791,,,1,4504136499576248,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,5,2026-05-27T13:43:50Z,,0,32,https://2gis.com/firm/4504128908610412,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Дары вкуса,Магазин белорусских продуктов,Продуктовые магазины,"улица Маршала Катукова, 11 к1 ст2",,123181,,Строгино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,1,,,,,,,http://daryvkusa-franhiza.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001060957070,55.810274,37.404496,4504235282551769,,,7,70000001038858932,Магазин белорусских продуктов,Магазин белорусских продуктов,Продуктовые магазины,shop,1,5,2026-05-27T10:12:42Z,,0,32,https://2gis.com/firm/70000001060957070,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Хороший,продуктовый магазин,Продуктовые магазины,"Таллинская улица, 17 к1",1 этаж,123458,,Строгино,Москва,,Москва,Россия,Пн: 09:00-22:45; Вт: 09:00-22:45; Ср: 09:00-22:45; Чт: 09:00-22:45; Пт: 09:00-22:45; Сб: 10:00-22:45; Вс: 10:00-22:45,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001106100768,55.800099,37.402856,4504235282559887,,,1,70000001106100767,Хороший,продуктовый магазин,Продуктовые магазины,shop,1,4,2026-07-09T12:09:25Z,,0,32,https://2gis.com/firm/70000001106100768,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Строгинский бульвар, 1",1 этаж,123592,,Строгино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,,,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001110931853,55.806143,37.395285,4504235282995065,ТЦ Дарья,70030076457125323,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:24Z,,0,32,https://2gis.com/firm/70000001110931853,branch,17,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726644
