Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты,"улица Малая Дмитровка, 31",цокольный этаж,127006,,Тверской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,110,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001057651756,55.7718,37.603283,4504235282735826,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,11,2026-06-22T08:07:33Z,,0,32,https://2gis.com/firm/70000001057651756,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Магнит,супермаркет,Супермаркеты,"Тверская улица, 6",цокольный этаж,125009,,Тверской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,205,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001037114228,55.760907,37.61076,4504235282757536,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,8,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001037114228,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов,"Охотный Ряд улица, 2",1 этаж,103265,,Тверской,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.5,46,89266360229,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001082129877,55.757847,37.617732,4504235282810606,Гостиница Москва,70030076295715504,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,2,10,2026-06-28T05:22:39Z,,0,32,https://2gis.com/firm/70000001082129877,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Манежная площадь, 1 ст2",-2 этаж,125009,,Тверской,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,166,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001067252416,55.754648,37.612819,4504235282987293,Охотный ряд,4504694860765008,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,11,2026-07-10T18:57:06Z,,0,32,https://2gis.com/firm/70000001067252416,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Тверская улица, 9",1-2 этаж,125009,,Тверской,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,252,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001045310877,55.759572,37.610969,4504235282776308,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,10,2026-07-06T04:34:17Z,,0,32,https://2gis.com/firm/70000001045310877,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Страстной бульвар, 4 ст1",1 этаж,125375,,Тверской,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,277,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001062715762,55.765375,37.607642,4504235312408740,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,12,2026-07-06T04:34:34Z,,0,32,https://2gis.com/firm/70000001062715762,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Гастроном №1,,Супермаркеты,"Красная площадь, 3",3 линия; 1 этаж,109012,,Тверской,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,102,84956203015,84956203010,,,,,http://gum.ru,,,,,,,,,,,,https://vk.com/gum_russia,,,,,,,,,,,,,,,,,,4504127910396053,55.755225,37.621269,4504235282742224,ГУМ,70030076157363269,1,4504136498828914,Гастроном №1,,Супермаркеты,mart,1,7,2026-06-14T12:45:09Z,,0,32,https://2gis.com/firm/4504127910396053,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Цветной бульвар, 11 ст2",1 этаж,127051,,Тверской,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,191,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001066509677,55.770171,37.620791,4504235282737250,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,11,2026-07-10T18:55:14Z,,0,32,https://2gis.com/firm/70000001066509677,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"площадь Тверская Застава, 4",-1 этаж,125047,,Тверской,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.1,5,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://max.ru/spar_russia,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001105173326,55.77554,37.582338,70030076316133013,ТЦ Афи Галерея,70030077052885357,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,11,2026-07-06T04:31:35Z,,0,32,https://2gis.com/firm/70000001105173326,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
Select Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Оружейный переулок, 27",,125047,,Тверской,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00 (кафе: пн-вс 8:00-23:00),+03:00,4.2,7,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001103280342,55.773006,37.603506,4504235282736779,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:09Z,,0,32,https://2gis.com/firm/70000001103280342,branch,71,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726536
