Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Саратовская улица, 1 к1",,109518,,Текстильщики,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,17,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001047825743,55.71389,37.729643,4504235282555196,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:06:27Z,,0,32,https://2gis.com/firm/70000001047825743,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Магнит,супермаркет,Супермаркеты,"1-й Грайвороновский проезд, 1",1 этаж,109518,,Текстильщики,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.0,7,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001074561903,55.719081,37.72707,70030076154811300,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,10,2026-07-09T08:49:04Z,,0,32,https://2gis.com/firm/70000001074561903,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Люблинская улица, 7/2 ст1",1 этаж,109125,,Текстильщики,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,73,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001023206273,55.712602,37.730591,4504235282555057,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,8,2026-06-25T04:05:57Z,,0,32,https://2gis.com/firm/70000001023206273,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Супер Лента,супермаркет,Супермаркеты,"Волгоградский проспект, 73",1 этаж,109125,,Текстильщики,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.7,159,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001061374229,55.709783,37.744261,4504235282555243,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,11,2026-06-04T07:14:31Z,,0,32,https://2gis.com/firm/70000001061374229,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Саратовская улица, 3 к1",1 этаж,109518,,Текстильщики,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.7,33,89252693148,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001035472753,55.71375,37.731776,4504235282555213,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:32Z,,0,32,https://2gis.com/firm/70000001035472753,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Ярче!,супермаркет,Супермаркеты,"Саратовская улица, 1 к1",,109518,,Текстильщики,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,187,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001027673953,55.713894,37.729444,4504235282555196,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,7,2026-06-23T09:22:47Z,,0,32,https://2gis.com/firm/70000001027673953,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Волжский бульвар 95-й квартал, к10",1 этаж,109125,,Текстильщики,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.2,7,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001007540786,55.715861,37.744933,4504235295613192,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,4,2026-06-25T10:28:44Z,,0,32,https://2gis.com/firm/70000001007540786,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Пятёрочка,супермаркет,Супермаркеты,"1-й Грайвороновский проезд, 3а к1",1 этаж,109518,,Текстильщики,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.1,2,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001100056312,55.718408,37.724421,70030076446688798,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,11,2026-06-22T08:06:51Z,,0,32,https://2gis.com/firm/70000001100056312,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"1-й Грайвороновский проезд, 3",1 этаж,109518,,Текстильщики,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,17,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001065518318,55.719614,37.725941,70030076200204541,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,6,2026-06-22T08:06:35Z,,0,32,https://2gis.com/firm/70000001065518318,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Волжский бульвар 95-й квартал, к7",,109125,,Текстильщики,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.0,10,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909643150,55.714432,37.745587,4504235282592078,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-23T10:32:44Z,,0,32,https://2gis.com/firm/4504127909643150,branch,51,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726594
