Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Облепиховая улица, 1а",,108836,,Троицк гор. округ,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,38,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001040249847,55.510943,37.367126,70030076142117686,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,9,2026-06-22T08:07:38Z,,0,32,https://2gis.com/firm/70000001040249847,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Магнит,супермаркет,Супермаркеты,"Гренадёрская улица, 9 к3",1 этаж,108828,,Троицк гор. округ,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,2.4,3,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001093460403,55.531396,37.386307,70030076276652952,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,4,2026-07-02T13:04:40Z,,0,32,https://2gis.com/firm/70000001093460403,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Чижик,супермаркет,Супермаркеты,"1-я Нововатутинская улица, 5",1 этаж,108836,Центральный м-н,Троицк гор. округ,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,7,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HBA6&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001098512111,55.520397,37.354343,70030076164458262,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,1,2026-07-05T12:23:14Z,,0,32,https://2gis.com/firm/70000001098512111,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Дикси,супермаркет,Супермаркеты,"улица Полковника Милиции Курочкина, 19",1 этаж,108841,B м-н,Троицк гор. округ,Троицк,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,57,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127921619656,55.486555,37.296448,4504235283032410,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,8,2026-06-25T04:05:59Z,,0,32,https://2gis.com/firm/4504127921619656,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Нововатутинский проспект, 6",1 этаж,108836,Центральный м-н,Троицк гор. округ,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.4,18,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001084322348,55.515154,37.350172,70030076301780015,ТЦ Лайнер,70030077026460550,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001084322348,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
ВкусВилл,супермаркет,Супермаркеты; Кулинарии; Доставка продуктов; Доставка еды,"3-я Нововатутинская улица, 6",1 этаж,108836,Центральный м-н,Троицк гор. округ,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.9,17,89254091975,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001066136678,55.52111,37.350127,70030076255436293,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,16,2026-06-28T05:22:41Z,,0,32,https://2gis.com/firm/70000001066136678,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Мираторг,супермаркет,Супермаркеты,"Рябиновая улица, 15",,108828,,Троицк гор. округ,,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,119,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001038247298,55.524862,37.385073,70030076188363222,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,1,7,2026-07-04T20:56:43Z,,0,32,https://2gis.com/firm/70000001038247298,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Светофор,супермаркет,Супермаркеты,"109-й квартал, 3 ст1",,108807,,Троицк гор. округ,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,38,89772904992,84999519495,,,,,http://pervomayskoe.svetoforonline.ru/content/kontakti,http://svetoforonline.ru/content/kontakti,http://pervomayskoe.svetoforonline.ru,,,,,,,,,,https://vk.com/svetofor.pervomajskoe,,,https://wa.me/79516109147,,,,,,,,,,,,,,,70000001044201855,55.51228,37.286163,4504235315055748,,,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,3,2026-06-23T05:29:21Z,,0,32,https://2gis.com/firm/70000001044201855,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Чижик,супермаркет,Супермаркеты,"Мостовая улица, 5 к2",1 этаж,108828,,Троицк гор. округ,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,36,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDWD&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001078284527,55.532587,37.378319,70030076199314956,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:11Z,,0,32,https://2gis.com/firm/70000001078284527,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Большая Октябрьская улица, 9",,108841,B м-н,Троицк гор. округ,Троицк,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,106,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001026887156,55.490858,37.302658,4504235282726477,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:07:57Z,,0,32,https://2gis.com/firm/70000001026887156,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Офицерская улица, 16","1, 2 этаж",108828,Ватутинки пгт,Троицк гор. округ,Москва,,Москва,Россия,Пн: 08:00-22:30; Вт: 08:00-22:30; Ср: 08:00-22:30; Чт: 08:00-22:30; Пт: 08:00-22:30; Сб: 08:00-22:30; Вс: 08:00-22:30,+03:00,4.8,41,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001019513582,55.505753,37.333172,4504235282725843,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:06:33Z,,0,32,https://2gis.com/firm/70000001019513582,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209520933741
