Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Академика Анохина, 2 к2а",1 этаж,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,37,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001055050382,55.67183,37.476429,4504235282681029,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:09Z,,0,32,https://2gis.com/firm/70000001055050382,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Мичуринский проспект, Олимпийская деревня проспект, 4 к2",,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,24,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036120277,55.675309,37.468892,4504235282992263,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:26Z,,0,32,https://2gis.com/firm/70000001036120277,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Востряковское шоссе, 7 ст6",,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,23,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001055114615,55.661706,37.452608,70030076224970620,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:41Z,,0,32,https://2gis.com/firm/70000001055114615,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Никулинская улица, 8 к2",1 этаж,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.7,24,88007777290,84957775190 (доп.4049),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001061602958,55.667802,37.466045,70030076165336566,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001061602958,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Kiosk,мини-маркет,Продуктовые магазины; Доставка продуктов,"улица Коштоянца, 20 к1",1 этаж,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,2,89851377513,,,,,,http://kioskminimarket.ru,,,,,,,,,,,,,,,https://wa.me/79851377513,,,,,,,,,,,,,,,70000001035945970,55.674301,37.477909,4504235282615482,,,1,70000001035945969,Kiosk,мини-маркет,Продуктовые магазины,shop,2,10,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001035945970,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Никулинская улица, 8 к3",1 этаж,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.9,19,88003017755,,,,,,http://winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001055371014,55.6689,37.467903,70030076209245354,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:39:46Z,,0,32,https://2gis.com/firm/70000001055371014,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
"То, что надо",минимаркет,Продуктовые магазины,"Никулинская улица, 6 к1",1 этаж,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.7,3,89032728309,,,,,,,,,,,,,,,,,,,,,https://wa.me/79032728309,,,,,,,,,,,,,,,70000001049064728,55.666507,37.464177,4504235282587873,,,3,4504136499308007,"То, что надо",минимаркет,Продуктовые магазины,shop,1,4,2025-10-11T11:09:24Z,,0,32,https://2gis.com/firm/70000001049064728,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Орловчанка,магазин фермерских продуктов,Продуктовые магазины,"улица Академика Анохина, 38 к1",1 этаж,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,2.6,5,89262333122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908591526,55.658977,37.471758,4504235282586550,,,1,4504137598437199,Орловчанка,магазин фермерских продуктов,Продуктовые магазины,shop,1,4,2025-10-02T15:28:07Z,,0,32,https://2gis.com/firm/4504128908591526,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Продуктовый магазин,,Продуктовые магазины; Табачные изделия и товары для курения,"Вернадского проспект, 97 к1",1 этаж,119526,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 08:00-21:30; Вт: 08:00-21:30; Ср: 08:00-21:30; Чт: 08:00-21:30; Пт: 08:00-21:30; Сб: 09:00-21:30; Вс: 10:00-21:30,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001050292910,55.667479,37.490716,4504235282578079,,,1,70000001050292909,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,common_store,2,6,2025-08-11T13:17:02Z,,0,32,https://2gis.com/firm/70000001050292910,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
Элита,мини-маркет,Продуктовые магазины; Доставка продуктов,"улица Покрышкина, 8 к2",,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908904634,55.666391,37.470917,4504235326504307,,,1,4504137598636044,Элита,мини-маркет,Доставка продуктов,shop,2,4,2026-06-10T17:30:12Z,,0,32,https://2gis.com/firm/4504128908904634,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726630
