Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Ленинский проспект, 152 к1",1 этаж,119571,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,39,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001036576514,55.653552,37.489576,4504235282575466,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,9,2026-07-02T13:04:34Z,,0,32,https://2gis.com/firm/70000001036576514,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Чижик,супермаркет,Супермаркеты,"улица 26 Бакинских Комиссаров, 7 к6",1 этаж,119571,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,13,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAGB&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001089742417,55.654968,37.484989,4504235282574885,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,4,2026-07-05T12:23:11Z,,0,32,https://2gis.com/firm/70000001089742417,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Вернадского проспект, 105 к4",1 этаж,119526,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,20,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908403615,55.663835,37.485506,4504235282681679,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,11,2026-06-25T04:05:52Z,,0,32,https://2gis.com/firm/4504128908403615,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Супер Лента,супермаркет,Супермаркеты,"Мичуринский проспект, Олимпийская деревня проспект, 4 к3",1 этаж,119602,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.0,33,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058984289,55.675632,37.470652,4504235282588481,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,10,2026-06-05T06:10:32Z,,0,32,https://2gis.com/firm/70000001058984289,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Ленинский проспект, 148 ст1",,119571,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.8,18,89263942821,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001031515177,55.656172,37.492923,4504235282575524,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001031515177,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Маркет Дружба,супермаркет китайских товаров,Супермаркеты,"Вернадского проспект, 105",1 этаж,119526,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.1,5,89168184968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001089471062,55.663091,37.485598,4504235282586998,ТЦ Премьера,70030076750847851,1,70000001089471061,Маркет Дружба,супермаркет китайских товаров,Супермаркеты,mart,1,4,2026-04-08T11:58:50Z,,0,32,https://2gis.com/firm/70000001089471062,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Вернадского проспект, 86а",-1 этаж,119571,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.9,68,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001021341645,55.662891,37.480596,4504235283130537,ТРЦ Avenue Southwest,4504694873490107,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/70000001021341645,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Ашан,супермаркет,Супермаркеты; Доставка продуктов,"улица Академика Анохина, 9а",1 этаж,119571,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.4,14,88007005800 (единая справочная),,,,,,http://auchan.ru,http://max.ru/auchanrus,,,,,,,,,,,https://vk.com/auchan,,,,,,,,,https://t.me/auchanrusbot,,,,,,,,,70000001066234883,55.65848,37.472746,4504235282586488,,,77,70000001031401982,Ашан,супермаркет,Супермаркеты,mart,2,8,2026-03-11T12:20:10Z,,0,32,https://2gis.com/firm/70000001066234883,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица 26 Бакинских Комиссаров, 8 к2",1 этаж,119526,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,59,89851108065,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909673695,55.65908,37.491033,4504235282602828,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,9,2026-06-22T08:07:08Z,,0,32,https://2gis.com/firm/4504127909673695,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Вернадского проспект, 105 к4",цокольный этаж,119526,,Тропарёво-Никулино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.1,15,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504128908889295,55.663916,37.486378,4504235282681679,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:11Z,,0,32,https://2gis.com/firm/4504128908889295,branch,57,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726630
