Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Москвитина, 9 к3",1 этаж,108811,Первый Московский Город Парк жилой комплекс,Филимонковский,Московский,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,8,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001056584895,55.598354,37.365515,70030076149647258,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:12Z,,0,32,https://2gis.com/firm/70000001056584895,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"улица Никитина, 11 к1",,108811,Первый Московский Город Парк жилой комплекс,Филимонковский,Московский,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,3.1,3,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001090607374,55.60337,37.372786,70030076212377265,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,3,2026-07-07T13:55:35Z,,0,32,https://2gis.com/firm/70000001090607374,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Радужная улица, 14 к3",1 этаж,108813,Град Московский жилой комплекс,Филимонковский,Московский,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,29,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001027248671,55.588465,37.372708,4504235283004049,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:45Z,,0,32,https://2gis.com/firm/70000001027248671,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Беларусь,магазин белорусских продуктов,Продуктовые магазины,"Новосередневский проспект, 17 к2",,108821,,Филимонковский,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/+dEqCiUlPJvU3MTUy,,,,,,,,,70000001093028553,55.568207,37.284414,70030076249210528,,,1,70000001093028552,Беларусь,магазин белорусских продуктов,Продуктовые магазины,shop,1,3,2026-06-15T12:22:40Z,,0,32,https://2gis.com/firm/70000001093028553,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Москвитина, 9 к3",,108811,Первый Московский Город Парк жилой комплекс,Филимонковский,Московский,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88007777290,84957775190 (доп.4238),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001094061375,55.598401,37.365204,70030076149647258,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,3,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001094061375,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Магазин халяльного мяса,ИП Бордан Виорика Ивановна,Продуктовые магазины,"улица Хабарова, 1 ст1",,108813,,Филимонковский,Московский,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,1,89999742151,,,,,,,,,,,,,,,,,,,,,https://wa.me/79999742151,,,,,,,,,,,,,,,70000001050373701,55.597719,37.356018,70030076170346955,,,1,70000001050373700,"Магазин халяльного мяса, г. Московский",Магазин халяльного мяса,Продуктовые магазины,shop,1,5,2025-06-23T09:43:38Z,,0,32,https://2gis.com/firm/70000001050373701,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Никитина, 11 к1",1 этаж,108811,Первый Московский Город Парк жилой комплекс,Филимонковский,Московский,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,13,88007777290,84957775190 (доп.4126),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001080233807,55.60316,37.372976,70030076212377265,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001080233807,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Армпродукты,магазин халяльных продуктов,Продуктовые магазины,"Радужная улица, 13/2",,108813,Град Московский жилой комплекс,Филимонковский,Московский,,Москва,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001034791230,55.589917,37.374992,4504235282826601,,,1,70000001034791229,Армпродукты,магазин халяльных продуктов,Продуктовые магазины,shop,1,5,2026-05-04T11:20:33Z,,0,32,https://2gis.com/firm/70000001034791230,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Кирсон,продуктовый магазин,Продуктовые магазины,"1-й микрорайон, 43/2 ст1",,108811,1-й м-н,Филимонковский,Московский,,Москва,Россия,Пн: 10:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,5.0,1,84954246615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127916038292,55.601429,37.342531,70030076178865421,,,1,4504136499363783,Кирсон,продуктовый магазин,Продуктовые магазины,shop,1,5,2025-11-24T11:29:16Z,,0,32,https://2gis.com/firm/4504127916038292,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"квартал 165, 5",,108815,,Филимонковский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,21,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001083282419,55.556882,37.314751,70030076190433754,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:28Z,,0,32,https://2gis.com/firm/70000001083282419,branch,60,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520929329
