Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Фрунзенская набережная, 14",1 этаж,119146,,Хамовники,Москва,,Москва,Россия,Пн: 08:00-22:05; Вт: 08:00-22:05; Ср: 08:00-22:05; Чт: 08:00-22:05; Пт: 08:00-22:05; Сб: 08:00-22:05; Вс: 08:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,78,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036101589,55.730735,37.593088,4504235282735231,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Алкогольные напитки,shop,2,4,2026-06-21T07:49:52Z,,0,32,https://2gis.com/firm/70000001036101589,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Большой Саввинский переулок, 3",,119435,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,52,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001039249402,55.73552,37.570189,4504235282746040,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-03T06:45:18Z,,0,32,https://2gis.com/firm/70000001039249402,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Языковский переулок, 5 к6",,119021,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,7,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001052366242,55.73154,37.583883,4504235282585653,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:09Z,,0,32,https://2gis.com/firm/70000001052366242,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"1-й Неопалимовский переулок, 15/7",1 этаж,119121,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,27,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036433667,55.740841,37.579757,4504235282746467,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:52Z,,0,32,https://2gis.com/firm/70000001036433667,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Ефремова, 21",1 этаж,119048,,Хамовники,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,38,88007777290,84957775190 (доп.7659),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001007040241,55.721574,37.567881,4504235282736890,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:10Z,,0,32,https://2gis.com/firm/70000001007040241,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Остоженка, 30 ст1",,119034,,Хамовники,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,28,88007777290,84957775190 (доп.4878),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001048397750,55.740053,37.596447,4504235282996382,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:19Z,,0,32,https://2gis.com/firm/70000001048397750,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Комсомольский проспект, 38",1 этаж,119146,,Хамовники,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,28,88007777290,84957775190 (доп.4854),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001049062730,55.722696,37.575228,4504235282737018,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:19Z,,0,32,https://2gis.com/firm/70000001049062730,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Малый Лёвшинский переулок, 14/9 ст1",1 этаж,119034,,Хамовники,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,10,88007777290,84957775190 (доп.4095),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001077128832,55.742636,37.589232,4504235282767654,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001077128832,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
Ast.wine,винотека,Продуктовые магазины; Алкогольные напитки,"Комсомольский проспект, 44",1 этаж,119048,,Хамовники,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,9,84951977337,,,,,,http://ast.wine/,,,,,,,,,,,,https://vk.com/astwine,,,,,,,,,https://t.me/astwinecare_bot,https://t.me/astwineshop,,,,,,,,70000001017392919,55.72078,37.572629,4504235282736899,,,7,70000001017392918,Ast.wine,винотека,Алкогольные напитки,shop,2,4,2026-07-06T12:10:25Z,,0,32,https://2gis.com/firm/70000001017392919,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
М2 Органик Клуб,магазин органических продуктов,Продуктовые магазины,"Гоголевский бульвар, 8 ст2",,119019,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,,,84950253030,,,,,,http://m2-shop.ru,http://ferma-m2.ru,http://dzen.ru/m2_shop_ru,,,,,,,,,,https://vk.com/organicferma,,,,,,,,,,,,,,,,,,70000001113031406,55.745879,37.600819,4504235282750319,,,10,70000001037170531,М2 Органик Клуб,магазин органических продуктов,Продуктовые магазины,shop,1,6,2026-05-06T09:51:13Z,,0,32,https://2gis.com/firm/70000001113031406,branch,19,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726533
