Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Малая Пироговская улица, 17",,119435,,Хамовники,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.6,19,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001093544367,55.728379,37.569162,4504235282585722,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,15,2026-07-02T13:01:27Z,,0,32,https://2gis.com/firm/70000001093544367,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Супер Лента,супермаркет,Супермаркеты,"улица Усачёва, 35 ст1",цокольный этаж,119048,,Хамовники,Москва,,Москва,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.5,124,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058980236,55.722371,37.561073,4504235282737229,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-07-05T05:36:47Z,,0,32,https://2gis.com/firm/70000001058980236,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Несвижский переулок, 2",,119021,,Хамовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,31,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001077084788,55.731843,37.58757,4504235282738911,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-22T08:06:38Z,,0,32,https://2gis.com/firm/70000001077084788,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Комсомольский проспект, 45","1, 2 этаж",119270,,Хамовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,41,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001021718532,55.720195,37.574038,4504235282736821,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,15,2026-06-22T08:06:00Z,,0,32,https://2gis.com/firm/70000001021718532,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Комсомольский проспект, 11",1 этаж,119146,,Хамовники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,163,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001040062425,55.730599,37.590028,4504235282735259,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,12,2026-07-06T04:33:54Z,,0,32,https://2gis.com/firm/70000001040062425,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Магнит,супермаркет,Супермаркеты,"улица Хамовнический Вал, 34",1 этаж,119048,,Хамовники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,42,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001091822653,55.721696,37.56367,4504235282737258,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,14,2026-07-02T13:02:32Z,,0,32,https://2gis.com/firm/70000001091822653,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"улица Льва Толстого, 16",1 этаж,119021,,Хамовники,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.6,116,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001040286724,55.734173,37.588995,4504235282738543,БЦ Морозов,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,11,2026-07-06T04:34:13Z,,0,32,https://2gis.com/firm/70000001040286724,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Льва Толстого, 23 к1",,119021,,Хамовники,Москва,,Москва,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,4.5,31,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/myperekrestokbot,,,,,,,,,70000001032542142,55.736121,37.583463,4504235282738243,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001032542142,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Комсомольский проспект, 33/11",,119146,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.7,40,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001082975611,55.723957,37.578969,4504235282736076,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,12,2026-07-02T13:02:51Z,,0,32,https://2gis.com/firm/70000001082975611,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Усачёва, 2 ст1",1 этаж,119048,,Хамовники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,27,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001033780956,55.731025,37.577465,4504235282737678,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-07-01T08:29:55Z,,0,32,https://2gis.com/firm/70000001033780956,branch,58,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726533
