Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Петрозаводская улица, 9 к2",1 этаж,125502,,Ховрино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,3.9,11,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036191695,55.865283,37.495061,4504235282532079,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:19Z,,0,32,https://2gis.com/firm/70000001036191695,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Клинская улица, 12",1 этаж,125475,,Ховрино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,26,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001018097702,55.869021,37.495861,4504235282549321,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:41Z,,0,32,https://2gis.com/firm/70000001018097702,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Зеленоградская улица, 31 к1",1 этаж,125475,,Ховрино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,25,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001034530725,55.875227,37.492803,4504235282548099,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:48Z,,0,32,https://2gis.com/firm/70000001034530725,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Ховринский дворик,гастроном,Продуктовые магазины,"Петрозаводская улица, 24 к2",1 этаж,125414,,Ховрино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,3.0,3,89261748083,,,,,,,,,,,,,,,,,,,,,https://wa.me/79261748083,,,,,,,,,,,,,,,4504128908469629,55.868503,37.493795,4504235282549693,,,1,4504137598360551,Ховринский дворик,гастроном,Продуктовые магазины,shop,1,5,2026-04-03T14:38:01Z,,0,32,https://2gis.com/firm/4504128908469629,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Градусы,магазин алкогольных напитков,Продуктовые магазины; Алкогольные напитки,"Зеленоградская улица, 17 к1",1 этаж,125475,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,3.5,2,88162681221 (доп.доп.6136),,,,,,http://gradusi.net,,,,,,,,,,,,https://vk.com/gradusimarket,,,,,,,,,https://t.me/gradusimarket,,,,,,,,,70000001055051148,55.870933,37.499916,4504235282544439,,,60,70000001047328890,Градусы,магазин алкогольных напитков,Продуктовые магазины,shop,2,5,2026-06-05T05:33:24Z,,0,32,https://2gis.com/firm/70000001055051148,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Авокадо,минимаркет,Продуктовые магазины,"Фестивальная улица, 20",,125581,,Ховрино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001088212159,55.859943,37.498737,4504235282532236,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,6,2026-07-07T06:47:26Z,,0,32,https://2gis.com/firm/70000001088212159,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Продуктовый магазин,,Продуктовые магазины,"Петрозаводская улица, 28 к1",1 этаж; вход с торца,125475,,Ховрино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,6,89013889911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504128908622488,55.868377,37.490787,4504235282531915,,,1,4504137598458000,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,5,2026-03-18T18:09:35Z,,0,32,https://2gis.com/firm/4504128908622488,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Авокадо,минимаркет,Продуктовые магазины,"Петрозаводская улица, 18 к1",,125414,,Ховрино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89656879955,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,https://wa.me/79656879955,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001094073211,55.865155,37.499635,4504235282549322,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,4,2026-07-07T06:47:26Z,,0,32,https://2gis.com/firm/70000001094073211,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Минимаркет,,Продуктовые магазины,"Флотская улица, 13 к3",1 этаж,125581,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001113324522,55.856565,37.502585,4504235282549303,,,1,70000001113324521,Минимаркет,Минимаркет,Продуктовые магазины,shop,1,4,2026-04-09T08:19:29Z,,0,32,https://2gis.com/firm/70000001113324522,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Беломорская улица, 23",,125445,,Ховрино,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.0,12,88007777290,84957775190 (доп.4963),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001057185759,55.867186,37.482435,70030076184898493,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:09Z,,0,32,https://2gis.com/firm/70000001057185759,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726555
