Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Клинская улица, 8 ст2",1 этаж,125475,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,114,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909675950,55.86911,37.497371,4504235282549320,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-07-07T08:16:02Z,,0,32,https://2gis.com/firm/4504127909675950,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Магнит,супермаркет,Супермаркеты,"улица Дыбенко, 28 ст2",правое крыло,125475,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.6,53,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001033252441,55.873765,37.485091,4504235317023740,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,13,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001033252441,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоградская улица, 25 к1а","1, цокольный этаж",125475,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,42,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001020463569,55.873678,37.494324,4504235295692428,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,10,2026-06-25T04:05:44Z,,0,32,https://2gis.com/firm/70000001020463569,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Eurospar,супермаркет,Супермаркеты; Доставка продуктов; Цветы; Интересные здания,"Фестивальная улица, 8 ст1",1 этаж,125581,,Ховрино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,1080,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001030131576,55.858834,37.492007,4504235282549313,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,4,14,2026-07-06T04:33:30Z,,0,32,https://2gis.com/firm/70000001030131576,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Магнолия,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоградская улица, 41",,125475,,Ховрино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,79,84997671501,84959213237,,,,,http://mgnl.ru,,,,,,,,,,,,https://vk.com/magnoliya.store,,,https://wa.me/79160378137,,,,,,,,,,,,,,,4504127908452539,55.877965,37.486325,4504235282635878,,,205,4504136498318542,Магнолия,супермаркет,Супермаркеты,mart,2,10,2026-03-18T15:42:52Z,,0,32,https://2gis.com/firm/4504127908452539,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Петрозаводская улица, 24а ст1",1 этаж,125414,,Ховрино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,226,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001051898610,55.867198,37.49315,4504235282549678,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001051898610,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Флотская улица, 7 ст1",1 этаж,125581,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,114,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001046737602,55.853758,37.496862,4504235309696421,,70030076469622339,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001046737602,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"улица Дыбенко, 7/1 ст1",1 этаж,125475,,Ховрино,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.0,19,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001060813993,55.878111,37.479133,70030076214959246,,70030076380055619,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-07-01T15:21:07Z,,0,32,https://2gis.com/firm/70000001060813993,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Зеленоградская улица, 31 к2",1 этаж,125475,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,74,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029688911,55.874694,37.492271,4504235282548094,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:03Z,,0,32,https://2gis.com/firm/70000001029688911,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
Мираторг,супермаркет,Супермаркеты,"улица Дыбенко, 1Б",,125445,,Ховрино,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,19,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001045430351,55.868292,37.483738,4504235282613733,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,1,13,2026-07-04T20:56:08Z,,0,32,https://2gis.com/firm/70000001045430351,branch,45,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726555
