Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Шелепихинская набережная, 34 к1",1 этаж,123290,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,63,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001056357166,55.761279,37.512467,4504235308628536,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:20Z,,0,32,https://2gis.com/firm/70000001056357166,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Чижик,супермаркет,Супермаркеты,"Шелепихинская набережная, 42 к1",1 этаж,123308,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,5,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAIY&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001084269815,55.767317,37.498243,70030076214800621,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:09Z,,0,32,https://2gis.com/firm/70000001084269815,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Шелепихинская набережная, 34 к1",1 этаж,123290,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,3.6,13,89257760781,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001044312222,55.760858,37.513479,4504235308628536,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-06-28T05:22:44Z,,0,32,https://2gis.com/firm/70000001044312222,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Чижик,супермаркет,Супермаркеты,"проспект Маршала Жукова, 23",1 этаж,123423,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,88,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDK3&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001080518664,55.775371,37.485749,4504235282538495,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001080518664,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Дикси,супермаркет,Супермаркеты,"Шелепихинская набережная, 34 к5",,123290,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.9,4,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001104591609,55.764572,37.512228,70030076304007827,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,8,2026-06-28T11:46:48Z,,0,32,https://2gis.com/firm/70000001104591609,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Верный,универсам,Супермаркеты,"улица Демьяна Бедного, 24 ст2",1 этаж,123423,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,28,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001007393994,55.780444,37.487375,4504235282797199,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,1,10,2026-07-09T15:26:58Z,,0,32,https://2gis.com/firm/70000001007393994,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Чижик,супермаркет,Супермаркеты,"улица Мнёвники, 7 к1",,123308,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,56,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDBH&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001065669447,55.771729,37.494119,4504235282796138,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,6,2026-07-05T12:23:08Z,,0,32,https://2gis.com/firm/70000001065669447,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Причальный проезд, 10 к2",,123290,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.1,2,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001104101896,55.760486,37.515845,70030076327460913,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,7,2026-06-27T05:12:09Z,,0,32,https://2gis.com/firm/70000001104101896,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"3-я Хорошёвская улица, 21а",1 этаж,123298,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,3.7,31,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001039179889,55.785556,37.49912,70030076158901702,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/70000001039179889,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Народного Ополчения, 11",цокольный этаж,123423,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,69,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001043050842,55.772929,37.474579,4504235283014235,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:14Z,,0,32,https://2gis.com/firm/70000001043050842,branch,89,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726647
