Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Хорошёвское шоссе, 15",,123007,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,120,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908438016,55.775679,37.533114,4504235282781607,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,13,2026-06-25T04:05:52Z,,0,32,https://2gis.com/firm/4504128908438016,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Супер Лента,супермаркет,Супермаркеты,"Хорошёвское шоссе, 38 ст5",1 этаж,125284,,Хорошёвский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,70,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058975142,55.778072,37.536371,4504235282782026,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,11,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058975142,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Ходынский бульвар, 4",1 этаж,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,3.4,15,89257862401,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001026769496,55.789582,37.532895,4504235283134799,Авиапарк,4504694858543974,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,21,2026-06-28T05:22:39Z,,0,32,https://2gis.com/firm/70000001026769496,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Хорошёвское шоссе, 16 ст3",-1 этаж,125284,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,149,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001058653946,55.774234,37.546139,4504235282779814,ТЦ На Беговой,70030076577605883,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001058653946,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ходынский бульвар, 20а",1 этаж,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.5,36,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001044133806,55.790123,37.524387,4504235295532592,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-07-09T08:31:28Z,,0,32,https://2gis.com/firm/70000001044133806,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Пятёрочка,супермаркет,Супермаркеты,"1-я Магистральная улица, 18 ст1",1 этаж,123007,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,49,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001067072565,55.771867,37.518198,4504235282675199,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:07:40Z,,0,32,https://2gis.com/firm/70000001067072565,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Хорошёвское шоссе, 27",-1 этаж,123007,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,225,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001024791779,55.776674,37.523854,4504235301257840,ТРЦ Хорошо!,4504694893370363,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:05Z,,0,32,https://2gis.com/firm/70000001024791779,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Хорошёвское шоссе, 34а ст1",,125284,,Хорошёвский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,103,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001038239652,55.775436,37.539536,4504235282779050,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,13,2026-07-02T13:01:36Z,,0,32,https://2gis.com/firm/70000001038239652,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Хорошёвское шоссе, вл25 к3",,123007,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,11,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001082008973,55.776886,37.527418,70030076191752629,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,11,2026-06-22T08:07:47Z,,0,32,https://2gis.com/firm/70000001082008973,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"улица Гризодубовой, 2",1 этаж,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,,,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001040826916,55.782504,37.53113,4504235282683381,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,10,2026-07-08T10:08:28Z,,0,32,https://2gis.com/firm/70000001040826916,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Хорошёвское шоссе, 48",1 этаж,125284,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,86,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001029867876,55.776328,37.534349,4504235282781642,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,13,2026-06-24T12:40:49Z,,0,32,https://2gis.com/firm/70000001029867876,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Пятёрочка,супермаркет,Супермаркеты,"Маргелова улица, 3 к5",,125284,,Хорошёвский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.3,5,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001096764058,55.777987,37.542205,70030076266420044,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,14,2026-06-22T08:06:49Z,,0,32,https://2gis.com/firm/70000001096764058,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Пятёрочка,супермаркет,Супермаркеты,"1-я Магистральная улица, 18 ст1",1 этаж,123007,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.8,49,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001067072565,55.771867,37.518198,4504235282675199,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:07:40Z,,0,32,https://2gis.com/firm/70000001067072565,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
ВкусВилл,супермаркет,Супермаркеты,"Хорошёвское шоссе, 58",,125284,,Хорошёвский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,89256455688,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001089236863,55.779026,37.532639,4504235282783415,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,1,15,2026-06-28T05:22:46Z,,0,32,https://2gis.com/firm/70000001089236863,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"улица Гризодубовой, 1а",1 этаж,123007,,Хорошёвский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,119,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,4504127909390687,55.781939,37.534369,4504235282993917,БЦ Ходынка,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,12,2026-04-14T12:29:26Z,,0,32,https://2gis.com/firm/4504127909390687,branch,56,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726553
