Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"микрорайон Северное Чертаново, 1а",1 этаж,117648,Северное Чертаново м-н,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,11,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001080470891,55.637187,37.60071,4504235282603037,,70030076394684269,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:38Z,,0,32,https://2gis.com/firm/70000001080470891,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Кировоградская улица, 7",,117587,,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,7,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001094593257,55.627205,37.612456,4504235282562819,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:20Z,,0,32,https://2gis.com/firm/70000001094593257,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Балаклавский проспект, 15",1 этаж,117648,,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,5,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001069082744,55.641637,37.591577,4504235283001619,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:30Z,,0,32,https://2gis.com/firm/70000001069082744,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"микрорайон Северное Чертаново, 2 к201",1 этаж,117648,Северное Чертаново м-н,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,39,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001026533891,55.638148,37.598551,4504235282565490,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:46Z,,0,32,https://2gis.com/firm/70000001026533891,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Чертановская улица, 1в к1",1 этаж,117639,,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.5,12,88007777290,84957775190 (доп.7008),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504127908482919,55.639648,37.607023,4504235282563638,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,7,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/4504127908482919,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Фреш-Маркет,магазин продуктов,Продуктовые магазины,"Варшавское шоссе, 125 ст15",1 этаж,117587,,Чертаново Северное,Москва,,Москва,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001041020508,55.625386,37.618443,70030076143243155,,,1,70000001041020507,Фреш-Маркет,магазин продуктов,Продуктовые магазины,shop,1,4,2026-03-27T16:33:05Z,,0,32,https://2gis.com/firm/70000001041020508,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Parle market,минимаркет,Продуктовые магазины,"Варшавское шоссе, 118",1 этаж,117587,,Чертаново Северное,Москва,,Москва,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001105275777,55.63153,37.618449,4504235282564526,Варшавка Sky,,1,70000001105275776,Parle market,минимаркет,Продуктовые магазины,shop,1,6,2026-02-05T15:02:24Z,,0,32,https://2gis.com/firm/70000001105275777,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Ассортида,гастроном,Продуктовые магазины,"Чертановская улица, 9 ст2",,117208,,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89175917167,,,,,,http://assortida.ru,,,,,,,,,,,,https://vk.com/public211147023,,,,,,,,,,,,,,,,,,70000001041983429,55.629094,37.600924,4504235283030075,,,15,70000001035530568,Ассортида,гастроном,Продуктовые магазины,shop,1,8,2025-09-29T13:00:59Z,,0,32,https://2gis.com/firm/70000001041983429,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Продуктовый магазин,,Продуктовые магазины,"Балаклавский проспект, 5а",1 этаж,117639,,Чертаново Северное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001041497217,55.640224,37.608803,4504235282563709,Штаер-Чертаново,70030076199551349,1,70000001041497216,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,5,2026-04-16T11:49:21Z,,0,32,https://2gis.com/firm/70000001041497217,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
Продуктовый магазин,,Продуктовые магазины,"Чертановская улица, 9 ст4",,117208,,Чертаново Северное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89689100003,,,,,,,,,,,,,,,,,,,,,https://wa.me/79689100003,,,,,,,,,,,,,,,70000001046940313,55.629405,37.600311,4504235283002694,,,1,70000001046940312,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2025-09-29T10:51:18Z,,0,32,https://2gis.com/firm/70000001046940313,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726615
