Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты,"Сумской проезд, 9",1 этаж,117208,,Чертаново Северное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,67,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001020796779,55.633966,37.604232,4504235282562587,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,11,2026-07-02T13:01:39Z,,0,32,https://2gis.com/firm/70000001020796779,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Чижик,супермаркет,Супермаркеты,"Варшавское шоссе, 114 к2",1 этаж,117587,,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.9,137,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA50&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001057618971,55.636893,37.617909,4504235282563533,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:07Z,,0,32,https://2gis.com/firm/70000001057618971,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Балаклавский проспект, вл5а ст12",1 этаж,117639,,Чертаново Северное,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.1,12,89296873778,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001033328893,55.640765,37.608041,4504235282563709,Штаер-Чертаново,70030076199551349,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,18,2026-06-28T05:22:33Z,,0,32,https://2gis.com/firm/70000001033328893,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Днепропетровская улица, 4а ст1",1 этаж,117525,,Чертаново Северное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,99,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001030332017,55.623143,37.601572,4504235282557065,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,13,2026-07-06T04:33:49Z,,0,32,https://2gis.com/firm/70000001030332017,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Ярче!,супермаркет,Супермаркеты; Доставка продуктов,"Кировоградская улица, 4 к3а",1 этаж,117208,,Чертаново Северное,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,44,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001084137110,55.630655,37.607788,4504235283002487,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,2,9,2026-06-23T09:20:31Z,,0,32,https://2gis.com/firm/70000001084137110,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Балаклавский проспект, вл5а ст12",1 этаж,117639,,Чертаново Северное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,38,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001090490853,55.640484,37.608439,4504235282563709,Штаер-Чертаново,70030076199551349,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:09Z,,0,32,https://2gis.com/firm/70000001090490853,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"микрорайон Северное Чертаново, 1а",1 этаж; центр Авентура,117648,Северное Чертаново м-н,Чертаново Северное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,34,84955029126 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127917743549,55.636183,37.598222,4504235282603037,,70030076394803851,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,11,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504127917743549,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Дикси,супермаркет,Супермаркеты,"Чертановская улица, 9 ст1",,117208,,Чертаново Северное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,145,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504127908393151,55.628602,37.599583,4504235282562472,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,1,15,2026-07-09T05:16:51Z,,0,32,https://2gis.com/firm/4504127908393151,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"Варшавское шоссе, 124 к1",1 этаж,117587,,Чертаново Северное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,45,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAED&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001082679376,55.627466,37.61622,4504235282562765,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,6,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001082679376,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Чертановская улица, 1в ст1",1 этаж,117639,,Чертаново Северное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,35,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001080852784,55.639375,37.606391,4504235282563638,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:46Z,,0,32,https://2gis.com/firm/70000001080852784,branch,33,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726615
