Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Чертановская улица, 43 к6",цокольный этаж,117570,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,31,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001034991753,55.608051,37.593837,4504235283138666,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:49:42Z,,0,32,https://2gis.com/firm/70000001034991753,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Чертановская улица, 32 ст3",1 этаж,117525,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,36,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001030736968,55.619085,37.591964,4504235283003441,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:26Z,,0,32,https://2gis.com/firm/70000001030736968,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Днепропетровская улица, 25 к1",1 этаж,117525,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,15,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001067353794,55.621742,37.585746,4504235282603080,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:32Z,,0,32,https://2gis.com/firm/70000001067353794,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Красного Маяка, 15а ст2",,117570,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,40,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001039328759,55.608138,37.580363,4504235282817721,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:19Z,,0,32,https://2gis.com/firm/70000001039328759,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Белорусский фермер,магазин,Продуктовые магазины,"Днепропетровская улица, 3 к1",,117525,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,89169066602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001057144062,55.621919,37.603792,4504235282556863,,,9,70000001029330456,Белорусский фермер,магазин,Продуктовые магазины,shop,1,5,2026-06-02T10:23:11Z,,0,32,https://2gis.com/firm/70000001057144062,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Чертановская улица, 47",1 этаж,117534,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,47,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001036798472,55.605093,37.590755,4504235282720275,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,6,2026-07-07T13:55:58Z,,0,32,https://2gis.com/firm/70000001036798472,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Продуктовый магазин,,Продуктовые магазины,"Кировоградская улица, 24",1 этаж,117519,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,2,89651111099,,,,,,,,,,,,,,,,,,,,,https://wa.me/79651111099,,,,,,,,,,,,,,,4504127917000315,55.614195,37.602762,4504235282673015,,,1,4504136499512284,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,6,2026-06-10T16:15:30Z,,0,32,https://2gis.com/firm/4504127917000315,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Белорусский смак,магазин белорусских продуктов,Продуктовые магазины,"Кировоградская улица, вл15а",30 павильон; 1 этаж,117519,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,5.0,1,89152056380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001025851687,55.609532,37.60333,4504235282556314,,,1,70000001043843778,Белорусский смак,магазин белорусских продуктов,Продуктовые магазины,shop,1,4,2026-02-04T11:54:15Z,,0,32,https://2gis.com/firm/70000001025851687,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Продуктовый магазин,,Продуктовые магазины; Табачные изделия и товары для курения,"Кировоградская улица, вл15а",1 этаж,117519,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001080817982,55.610469,37.603426,4504235282556314,,,1,70000001080817981,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,common_store,2,5,2026-02-04T11:30:08Z,,0,32,https://2gis.com/firm/70000001080817982,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
Около,продуктовый магазин,Продуктовые магазины,"Чертановская улица, 44",,117570,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001103369581,55.609011,37.590029,4504235282575954,,,1,70000001098858440,Около,продуктовый магазин,Продуктовые магазины,shop,1,3,2026-05-05T11:43:06Z,,0,32,https://2gis.com/firm/70000001103369581,branch,14,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726614
