Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Кировоградская улица, 17",,117519,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,82,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001027335308,55.609119,37.604394,4504235282554859,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,8,2026-06-22T08:06:32Z,,0,32,https://2gis.com/firm/70000001027335308,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Магнит,супермаркет,Супермаркеты,"улица Красного Маяка, 10",1 этаж,117519,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.4,98,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001007505615,55.61284,37.592973,4504235282556220,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,1,12,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001007505615,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"улица Красного Маяка, 2",1 этаж,117519,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,59,89252652329,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001030305778,55.611604,37.601775,4504235282556263,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,16,2026-06-28T05:22:29Z,,0,32,https://2gis.com/firm/70000001030305778,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Чертановская улица, 45а",1 этаж,117570,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,510,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://max.ru/spar_russia,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001032342976,55.606621,37.593352,4504235282555710,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,14,2026-07-06T04:31:35Z,,0,32,https://2gis.com/firm/70000001032342976,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Днепропетровская улица, 16а",,117570,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.8,14,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917162627,55.618668,37.58316,4504235282576103,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:31Z,,0,32,https://2gis.com/firm/4504127917162627,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Мираторг,супермаркет,Супермаркеты,"Чертановская улица, 36 ст1",1 этаж,117570,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,102,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001036572468,55.615295,37.591785,4504235282576635,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,1,11,2026-07-04T20:56:47Z,,0,32,https://2gis.com/firm/70000001036572468,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Днепропетровская улица, 3 к1",,117525,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.8,23,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909838693,55.621498,37.605859,4504235282556863,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:30Z,,0,32,https://2gis.com/firm/4504127909838693,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Чижик,супермаркет,Супермаркеты,"Днепропетровская улица, 14Б",,117525,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,66,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HDP6&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001074583244,55.618899,37.58251,4504235282603070,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001074583244,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Да!,супермаркет,Супермаркеты,"улица Красного Маяка, 2Б",-1 этаж,117519,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:30-22:30; Вт: 08:30-22:30; Ср: 08:30-22:30; Чт: 08:30-22:30; Пт: 08:30-22:30; Сб: 08:30-22:30; Вс: 08:30-22:30,+03:00,4.7,141,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001020969556,55.610931,37.608057,4504235282556020,Columbus Южная галерея,70030076150107771,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,10,2026-06-22T07:19:16Z,,0,32,https://2gis.com/firm/70000001020969556,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Чертановская улица, 32 ст1",,117525,,Чертаново Центральное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,23,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127916387798,55.618542,37.591571,4504235282557341,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:06:30Z,,0,32,https://2gis.com/firm/4504127916387798,branch,29,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726614
