Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Магнит,супермаркет,Супермаркеты; Доставка продуктов,"Кировоградская улица, 42",,117534,,Чертаново Южное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,25,88002009002 (единая справочная: пн-вс 6:00-00:00),,,info@magnit.ru,,,http://magnit.ru/?utm_source=_geopriority_&utm_medium=&utm_campaign=_MM_Geoprioritety_-&utm_content=main&utm_term=,,,,,,,,,,,,https://vk.com/magnitretail,,,,,,,,,https://t.me/magnit_retail,,,,,,,,,70000001007209051,55.599313,37.597281,4504235282554047,,,1562,4504137598701571,Магнит,супермаркет,Супермаркеты,mart,2,15,2026-07-02T13:04:36Z,,0,32,https://2gis.com/firm/70000001007209051,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Чижик,супермаркет,Супермаркеты,"Чертановская улица, 50 к1",,117534,,Чертаново Южное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HCCS&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001114687083,55.604946,37.589308,4504235282553938,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,1,2026-07-05T12:23:16Z,,0,32,https://2gis.com/firm/70000001114687083,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Дикси,супермаркет,Супермаркеты; Доставка продуктов,"Подольских Курсантов улица, 2",,117545,,Чертаново Южное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.9,43,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,4504128908504328,55.609018,37.611018,70030076469625889,,,1418,4504136498313374,Дикси,супермаркет,Супермаркеты,mart,2,12,2026-06-29T08:35:21Z,,0,32,https://2gis.com/firm/4504128908504328,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Россошанский проезд, 3",1 этаж,117535,,Чертаново Южное,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,227,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127908401408,55.601017,37.609354,4504235282576445,ТЦ Прага,70030076839547997,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,12,2026-06-27T05:12:00Z,,0,32,https://2gis.com/firm/4504127908401408,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Супер Лента,супермаркет,Супермаркеты,"Подольских Курсантов улица, 10",1 этаж,117545,,Чертаново Южное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,126,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058985275,55.608264,37.615999,4504235282576901,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-06-18T12:40:02Z,,0,32,https://2gis.com/firm/70000001058985275,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Светофор,супермаркет,Супермаркеты,"Россошанский проезд, 3",-1 этаж,117535,,Чертаново Южное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.4,56,89936200789,,,,,,http://msk-ross.svetoforonline.ru/content/kontakti,http://msk-ross.svetoforonline.ru,http://svetoformsk.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001071873155,55.601012,37.60949,4504235282576445,ТЦ Прага,70030076839557398,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,5,2026-06-25T12:10:55Z,,0,32,https://2gis.com/firm/70000001071873155,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Да!,супермаркет,Супермаркеты,"Дорожная улица, вл13",,117535,,Чертаново Южное,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.6,31,88005002755 (единая справочная: пн-вс 9:00-21:00),,,,,,http://market-da.ru,http://max.ru/magazin_da,,,,,,,,,,,https://vk.com/magazin_da,,,,,,,,,https://t.me/marketda,,,,,,,,,70000001060647250,55.597439,37.620769,70030076222508177,,,156,70000001020160443,Да!,супермаркет,Супермаркеты,mart,1,9,2026-06-22T07:19:17Z,,0,32,https://2gis.com/firm/70000001060647250,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Супер Лента,супермаркет,Супермаркеты,"Россошанский проезд, 8 к1",,117535,,Чертаново Южное,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,79,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058979886,55.597606,37.604288,4504235282555181,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,15,2026-06-05T12:44:43Z,,0,32,https://2gis.com/firm/70000001058979886,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Чижик,супермаркет,Супермаркеты,"Россошанский проезд, 3",2 этаж,117535,,Чертаново Южное,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,61,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HA9J&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001082525480,55.601078,37.609627,4504235282576445,ТЦ Прага,70030076839553970,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:10Z,,0,32,https://2gis.com/firm/70000001082525480,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
Ярче!,супермаркет,Супермаркеты,"Чертановская улица, 47 к1",,117534,,Чертаново Южное,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,7,,,,,,,http://ярче.рф,http://yarcheplus.ru,,,,,,,,,,,https://vk.com/supermarket_yarche,,,,,,,,,,,,,,,,,,70000001095573895,55.60465,37.590783,4504235282553962,,,198,70000001025914019,Ярче!,супермаркет,Супермаркеты,mart,1,6,2026-06-23T09:22:57Z,,0,32,https://2gis.com/firm/70000001095573895,branch,63,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726659
