Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Профсоюзная улица, 25",1 этаж,117418,,Черёмушки,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,25,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001066178108,55.674261,37.560566,4504235282585535,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:31Z,,0,32,https://2gis.com/firm/70000001066178108,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Каховка, 33 к1",1 этаж,117461,,Черёмушки,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,10,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001079286924,55.658084,37.565394,4504235282573144,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:43Z,,0,32,https://2gis.com/firm/70000001079286924,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Ермолино,фирменный магазин,Продуктовые магазины,"Новочерёмушкинская улица, 66 к1",1 этаж,117420,,Черёмушки,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.5,2,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001103839414,55.663283,37.560918,4504235282583447,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,1,5,2026-07-11T04:26:47Z,,0,32,https://2gis.com/firm/70000001103839414,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Гарибальди улица, 21",1 этаж,117335,,Черёмушки,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,7,88007777290,84957775190 (доп.4201),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001084540710,55.672237,37.550698,4504235282585044,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:15Z,,0,32,https://2gis.com/firm/70000001084540710,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Намёткина, 11",1 этаж,117420,,Черёмушки,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,36,88007777290,84957775190 (доп.4910),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001055025858,55.66311,37.553182,4504235282583660,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:08Z,,0,32,https://2gis.com/firm/70000001055025858,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Херсонская улица, 39",,117246,,Черёмушки,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,37,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001036766074,55.654312,37.559587,4504235282584011,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-07T03:36:58Z,,0,32,https://2gis.com/firm/70000001036766074,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Севастопольский проспект, 28 к9",,117209,,Черёмушки,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.5,4,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001104321606,55.664086,37.572101,70030076188876177,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:22Z,,0,32,https://2gis.com/firm/70000001104321606,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Около,минимаркет,Продуктовые магазины,"Профсоюзная улица, 30 к3 ст2",,117335,,Черёмушки,Москва,,Москва,Россия,Пн: 08:30-24:00; Вт: 08:30-24:00; Ср: 08:30-24:00; Чт: 08:30-24:00; Пт: 08:30-24:00; Сб: 08:30-24:00; Вс: 08:30-24:00,+03:00,,,84956628888,,,,,,,,,,,,,,,,,,,,,,,,,,,https://t.me/okolo10,,,,,,,,,70000001109611739,55.677749,37.55915,4504235283006254,,,148,70000001080350055,Около,минимаркет,Продуктовые магазины,shop,1,5,2026-03-25T14:49:08Z,,0,32,https://2gis.com/firm/70000001109611739,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
Авокадо,продуктовый магазин,Продуктовые магазины,"Профсоюзная улица, 30 к3",1 этаж,117335,,Черёмушки,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.5,5,89154787805,,,,,,http://авокадо.рф,http://t.me/avocadoswnn,,,,,,,,,,,https://vk.com/avocadoswnn,,,,,,,,,,,,,,,,,,4504127917484485,55.677609,37.559079,4504235282568631,,,1,4504136499576158,Авокадо,продуктовый магазин,Продуктовые магазины,shop,1,4,2026-07-07T06:47:27Z,,0,32,https://2gis.com/firm/4504127917484485,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
У фермера,магазин продуктов,Продуктовые магазины,"Херсонская улица, 39",1 этаж,117246,,Черёмушки,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,3,89916226963,89652803080,,,,,,,,,,,,,,,,,,,,https://wa.me/79916226963,,,,,,https://t.me/+79916226963,,,,,,,,,70000001057816018,55.654143,37.559587,4504235282584011,,,2,70000001057816017,У фермера,магазин продуктов,Продуктовые магазины,shop,1,7,2026-04-13T14:02:40Z,,0,32,https://2gis.com/firm/70000001057816018,branch,13,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726627
