Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Спортивная улица, 8а",1 этаж,108851,Центральный м-н,Щербинка,Щербинка,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,28,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001066002699,55.501845,37.569619,4504235282678468,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:06Z,,0,32,https://2gis.com/firm/70000001066002699,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Типографская улица, 2",1 этаж,117148,Милицейский пос.,Щербинка,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,38,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001039353469,55.509248,37.585626,4504235282680284,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:26Z,,0,32,https://2gis.com/firm/70000001039353469,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Железнодорожная улица, 2а",,108851,Центральный м-н,Щербинка,Щербинка,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.4,7,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001087456434,55.507249,37.562214,70030076143909736,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:54Z,,0,32,https://2gis.com/firm/70000001087456434,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Садовая улица, 4",1 этаж,108851,Люблинский м-н,Щербинка,Щербинка,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,5.0,25,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024934237,55.514596,37.569117,4504235282680142,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:36Z,,0,32,https://2gis.com/firm/70000001024934237,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Барышевская Роща, 10",1 этаж,108831,Барыши м-н,Щербинка,Щербинка,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88007777290,84957775190 (доп.4222),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001090687448,55.503675,37.535747,4504235294356434,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:15Z,,0,32,https://2gis.com/firm/70000001090687448,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Мостотреста, 10 к2",1 этаж,108851,Люблинский м-н,Щербинка,Щербинка,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001104321607,55.514668,37.574899,70030076493158128,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:22Z,,0,32,https://2gis.com/firm/70000001104321607,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Дикси,супермаркет,Продуктовые магазины; Супермаркеты,"улица Уточкина, 2 к2",,108823,,Щербинка,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,2,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001113216187,55.473405,37.531052,70030076612074789,,,1418,4504136498313374,Дикси,супермаркет,Продуктовые магазины,mart,2,1,2026-06-27T03:41:37Z,,0,32,https://2gis.com/firm/70000001113216187,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Чечёрский проезд, 126",1 этаж,117042,Новое Бутово жилой комплекс,Щербинка,Москва,,Москва,Россия,Пн: 08:00-22:05; Вт: 08:00-22:05; Ср: 08:00-22:05; Чт: 08:00-22:05; Пт: 08:00-22:05; Сб: 08:00-22:05; Вс: 08:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,43,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001025827295,55.52439,37.514623,4504235283119728,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:45Z,,0,32,https://2gis.com/firm/70000001025827295,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Мостотреста, 10 к1",,108851,Люблинский м-н,Щербинка,Щербинка,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001113368287,55.514043,37.57486,70030076560405157,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,0,2026-06-21T07:49:28Z,,0,32,https://2gis.com/firm/70000001113368287,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Брусилова, 21",1 этаж,117148,,Щербинка,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,42,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001055383025,55.50174,37.585563,4504235282771139,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:37Z,,0,32,https://2gis.com/firm/70000001055383025,branch,72,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209520928047
