Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Маршала Рыбалко, 7",1 этаж,123060,,Щукино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,7,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001038034656,55.79688,37.492017,4504235282538020,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:53Z,,0,32,https://2gis.com/firm/70000001038034656,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Хамон и Вино,гастрономический бутик,Продуктовые магазины; Алкогольные напитки,"улица Маршала Рыбалко, 2 к8",1 этаж,123060,,Щукино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-21:00 (Время продажи алкоголя ограничено.),+03:00,,,89774838423,84959697929,,,,,http://elparador.net,http://t.me/elparador2009,,,,,,,,,,,,,,https://wa.me/79774838423,,,,,,,,,,,,,,,70000001046988498,55.79726,37.497217,4504235283115067,,,1,70000001046988497,Хамон и Вино,гастрономический бутик,Продуктовые магазины,shop,2,8,2026-05-02T12:11:03Z,,0,32,https://2gis.com/firm/70000001046988498,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Берзарина, 30 к3",,123060,,Щукино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,21,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001069052360,55.79006,37.47295,70030076190629250,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:43Z,,0,32,https://2gis.com/firm/70000001069052360,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Маршала Бирюзова, 22 к1",,123060,,Щукино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.4,6,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001090090191,55.795914,37.489697,4504235282538018,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:27Z,,0,32,https://2gis.com/firm/70000001090090191,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Маршала Рыбалко, 3",1 этаж,123060,,Щукино,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,34,88007777290,84957775190 (доп.7687),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001022540912,55.795957,37.49361,4504235282684386,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/70000001022540912,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Дикси,супермаркет,Продуктовые магазины; Супермаркеты,"улица Маршала Василевского, 5 к1",,123098,,Щукино,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,,,88001011001,,,,,,http://dixy.ru,,,,,,,,,,,,https://vk.com/dixyclub,,,,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/dixychannel,,,,,,70000001106001639,55.804365,37.472056,4504235282687951,,,1418,4504136498313374,Дикси,супермаркет,Продуктовые магазины,mart,2,1,2026-06-25T04:05:58Z,,0,32,https://2gis.com/firm/70000001106001639,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Волоколамское шоссе, 24 к1",1 этаж,123182,,Щукино,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.0,7,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001095568204,55.811599,37.483888,70030076202750405,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,3,2026-07-07T13:29:18Z,,0,32,https://2gis.com/firm/70000001095568204,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"улица Маршала Василевского, 3 к1",,123098,,Щукино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001115540231,55.803486,37.47378,4504235282687946,,,677,70000001026552772,Ермолино,фирменный магазин,Колбасные изделия,shop,7,0,2026-07-11T04:26:50Z,,0,32,https://2gis.com/firm/70000001115540231,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Продуктовый магазин,,Продуктовые магазины,"улица Маршала Бирюзова, 19",цокольный этаж,123060,,Щукино,Москва,,Москва,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,4.9,1,89654044540,84952694345,88003338046,,,,,,,,,,,,,,,,https://vk.com/kuriniy,,,,,,,,,,,,,,,,,,70000001054233605,55.794289,37.490875,4504235282684088,,,1,70000001054233604,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-06-04T14:13:15Z,,0,32,https://2gis.com/firm/70000001054233605,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
Продуктовый магазин,,Продуктовые магазины,"улица Маршала Бирюзова, 16а",,123060,,Щукино,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.0,1,89166463190,,,,,,,,,,,,,,,,,,,,,https://wa.me/79166463190,,,,,,,,,,,,,,,70000001079118934,55.795317,37.491839,4504235283006330,,,1,70000001079118933,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,6,2026-04-29T13:57:20Z,,0,32,https://2gis.com/firm/70000001079118934,branch,16,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726648
