Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"1-я Мелитопольская улица, 2а",1 этаж,117623,,Южное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,89,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127917341809,55.539295,37.576227,4504235282748437,ТЦ Мелитопольский,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,10,2026-06-22T08:07:40Z,,0,32,https://2gis.com/firm/4504127917341809,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Чижик,супермаркет,Супермаркеты; Доставка продуктов,"Скобелевская улица, 20",цокольный этаж,117624,,Южное Бутово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,15,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HATQ&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001096467082,55.546561,37.555684,4504235282739952,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,2,7,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001096467082,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"бульвар Адмирала Ушакова, 7",1 этаж,117624,,Южное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,174,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127915979549,55.546269,37.551392,4504235282741308,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,15,2026-06-27T05:12:04Z,,0,32,https://2gis.com/firm/4504127915979549,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Супер Лента,супермаркет,Супермаркеты,"2-я Мелитопольская улица, 3а",1 этаж,117623,,Южное Бутово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,155,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058980414,55.539405,37.573604,4504235282748429,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,12,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058980414,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
ВкусВилл,супермаркет,Супермаркеты; Доставка продуктов; Кулинарии; Доставка еды,"Адмирала Лазарева улица, 63",1 этаж,117041,,Южное Бутово,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.7,30,89269811622,,,,,,http://vkusvill.ru/goods/?utm_source=2gis&utm_medium=maps&utm_campaign=glavnaya&deep_link_value=https%3A%2F%2Fvkusvill.ru%2Fmobile%3Fcatalog%2F&af_dp=vkusvill%3A%2F%2F&c=glavnaya&shortlink=5ca647b8&source_,http://max.ru/vkusvill_ru,,,,,,,,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://t.me/we_are_vkusvill,,,,,,,,,70000001031517132,55.537483,37.506312,4504235283007698,,,1420,4504137598285175,ВкусВилл,супермаркет,Супермаркеты,mart,4,19,2026-06-28T05:22:40Z,,0,32,https://2gis.com/firm/70000001031517132,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Венёвская улица, 6",1 этаж,117042,,Южное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,41,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001090109584,55.547852,37.542813,4504235283022827,ТРЦ Витте Молл,70030076128322958,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,10,2026-07-11T09:21:43Z,,0,32,https://2gis.com/firm/70000001090109584,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Азбука вкуса,супермаркет,Супермаркеты; Доставка продуктов,"улица Академика Понтрягина, 14",1 этаж,117041,Потапово коттеджный пос.,Южное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,144,84955043478 (служба поддержки),88007003487 (бесплатная единая справочная: пн-вс 9:00-21:00),84952230200,,,,http://av.ru,http://max.ru/azbukavkusa,,,,,,,,,,,https://vk.com/azbukavkusa,,,,,,,,,https://t.me/azbukavkusa,,,https://youtube.com/azbukav,,,,,,70000001047406590,55.533069,37.498377,70030076194033820,,,102,4504136498318829,Азбука вкуса,супермаркет,Супермаркеты,mart,2,9,2026-07-06T03:20:06Z,,0,32,https://2gis.com/firm/70000001047406590,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Варшавское шоссе, вл210",,117623,,Южное Бутово,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.8,95,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001047920304,55.535174,37.581221,70030076197678110,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/70000001047920304,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Чижик,супермаркет,Супермаркеты,"улица Адмирала Руднева, 2",1 этаж,117041,,Южное Бутово,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,5,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HB01&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001094210637,55.544,37.525452,70030076152508148,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,5,2026-07-05T12:23:13Z,,0,32,https://2gis.com/firm/70000001094210637,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Супер Лента,супермаркет,Супермаркеты,"Изюмская улица, 36",1 этаж,117624,,Южное Бутово,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.6,127,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058983861,55.547615,37.565775,4504235282737986,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,11,2026-06-05T06:10:46Z,,0,32,https://2gis.com/firm/70000001058983861,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Адмирала Лазарева улица, 52",1 этаж,117041,,Южное Бутово,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,202,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,4504127909007059,55.542319,37.517799,4504235282751103,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:02Z,,0,32,https://2gis.com/firm/4504127909007059,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Мираторг,супермаркет,Супермаркеты,"улица Поляны, 5",1 этаж,117624,,Южное Бутово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.6,31,88005502719,,,,,,http://miratorg.ru/super,http://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,,,https://vk.com/supermarketmiratorg,,,,,,,,,https://t.me/+Y3RA1ifcI7RhNDNi,,,,,,,,,70000001039822893,55.556654,37.554216,70030076152361610,,,97,4504136499896740,Мираторг,супермаркет,Супермаркеты,mart,1,11,2026-07-04T20:55:31Z,,0,32,https://2gis.com/firm/70000001039822893,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Скобелевская улица, 1 к1",,117624,,Южное Бутово,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.9,18,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001019091521,55.550612,37.556483,4504235282738310,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:40Z,,0,32,https://2gis.com/firm/70000001019091521,branch,99,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726619
