Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Химкинский бульвар, 13",1 этаж,125364,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,24,88007777290,84957775190 (доп.7653),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001007120560,55.849999,37.447438,4504235282544645,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,7,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/70000001007120560,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Свободы, 32",,125364,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,26,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001024369236,55.842824,37.455958,4504235282565801,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-06-21T07:48:20Z,,0,32,https://2gis.com/firm/70000001024369236,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Сходненская улица, 8",,125363,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,20,88007777290,84957775190 (доп.4124),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001080087132,55.838803,37.438705,4504235282545786,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,3,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001080087132,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"бульвар Яна Райниса, 23",,125459,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,38,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001034530585,55.848722,37.426741,4504235282567835,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-06T10:46:48Z,,0,32,https://2gis.com/firm/70000001034530585,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Сходненская улица, 44/17",,125363,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,44,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001031893315,55.845328,37.440064,4504235282565426,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:34Z,,0,32,https://2gis.com/firm/70000001031893315,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Сходненская улица, 25",1 этаж,125363,,Южное Тушино,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.9,33,88007777290,84957775190 (доп.4900),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001055029619,55.845194,37.439073,4504235282546142,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,6,2026-07-09T13:23:20Z,,0,32,https://2gis.com/firm/70000001055029619,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Сходненская улица, 37",,125363,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.9,25,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001074667482,55.849091,37.439137,4504235282549113,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:48:31Z,,0,32,https://2gis.com/firm/70000001074667482,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Ермолино,фирменный магазин,Продуктовые магазины; Колбасные изделия; Продукты быстрого приготовления; Мясо и полуфабрикаты; Сыры; Кондитерские изделия; Молочные продукты,"проезд Донелайтиса, 19",,125373,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,89132020588,89208800212,,,,,http://ermolino-produkty.ru,http://max.ru/produktyermolino,,,,,,,,,,,https://vk.com/produktyermolino,,,,,,,,,https://t.me/produktyermolino,,,https://youtube.com/c/ErmolinskieProdukty,,,,,,70000001110663876,55.845839,37.419297,4504235282568477,,,677,70000001026552772,Ермолино,фирменный магазин,Продуктовые магазины,shop,7,0,2026-07-11T04:26:46Z,,0,32,https://2gis.com/firm/70000001110663876,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Халяль маркет,магазин халяльной продукции,Продуктовые магазины,"Сходненская улица, 23",1 этаж,125363,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,89936984241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001088756710,55.844682,37.438973,4504235282545884,,,1,70000001088756709,Халяль маркет,магазин халяльной продукции,Продуктовые магазины,shop,1,4,2026-03-18T13:15:09Z,,0,32,https://2gis.com/firm/70000001088756710,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Свободы, 34",1 этаж,125364,,Южное Тушино,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.7,29,88003017755,,,,,,http://winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001046057380,55.843287,37.455799,4504235282545246,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:39:06Z,,0,32,https://2gis.com/firm/70000001046057380,branch,15,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726649
