Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"1-я Дубровская улица, 2Б к1",1 этаж,109044,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.6,11,88007777290,84957775190 (доп.7086),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,4504127908482904,55.7295,37.667754,4504235282630004,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:10Z,,0,32,https://2gis.com/firm/4504127908482904,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Южнопортовая улица, 16",1 этаж,115193,,Южнопортовый,Москва,,Москва,Россия,Пн: 08:00-22:05; Вт: 08:00-22:05; Ср: 08:00-22:05; Чт: 08:00-22:05; Пт: 08:00-22:05; Сб: 08:00-22:05; Вс: 08:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,73,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001031588326,55.707304,37.683948,4504235282627141,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:31Z,,0,32,https://2gis.com/firm/70000001031588326,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Шарикоподшипниковская улица, 4 к4а",1 этаж,115088,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,32,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001032396639,55.719919,37.670448,4504235283130042,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-07-11T04:00:21Z,,0,32,https://2gis.com/firm/70000001032396639,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"1-я Дубровская улица, 6а",цокольный этаж,109044,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,8,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001078813411,55.726937,37.668744,4504235282822547,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-07-11T04:00:20Z,,0,32,https://2gis.com/firm/70000001078813411,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Волгоградский проспект, 32/3 к1",1 этаж,109316,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,33,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001062958256,55.719471,37.694115,70030076170905612,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:23Z,,0,32,https://2gis.com/firm/70000001062958256,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Волгоградский проспект, 32/5 к1",1 этаж,109316,,Южнопортовый,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.3,4,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001088186954,55.720587,37.689775,70030076215297284,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,5,2026-07-07T13:29:25Z,,0,32,https://2gis.com/firm/70000001088186954,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Шарикоподшипниковская улица, 24",1 этаж,115088,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,40,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001045172017,55.717339,37.67564,4504235282627842,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:48:18Z,,0,32,https://2gis.com/firm/70000001045172017,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Шарикоподшипниковская улица, 18",1 этаж,115088,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,,,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001089474519,55.718983,37.674407,4504235282627847,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,3,2026-07-11T04:00:20Z,,0,32,https://2gis.com/firm/70000001089474519,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"6-я Кожуховская улица, 4",1 этаж,115193,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,16,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001029366260,55.706934,37.669917,4504235282632008,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-11T04:00:21Z,,0,32,https://2gis.com/firm/70000001029366260,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Велозаводская улица, 9",1 этаж,115280,,Южнопортовый,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.6,25,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001031587143,55.712063,37.666504,4504235282627533,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:24Z,,0,32,https://2gis.com/firm/70000001031587143,branch,34,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=70030076266239145
