Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ярославское шоссе, 6",1 этаж,129337,,Ярославский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.6,77,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909809013,55.852997,37.681183,4504235282574425,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:07:11Z,,0,32,https://2gis.com/firm/4504127909809013,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Чижик,супермаркет,Супермаркеты,"Ярославское шоссе, 30",,129337,,Ярославский,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,17,84992702713,,,112@chizhik.club,,,http://chizhik.club/?utm_campaign=HAPM&utm_medium=maps&utm_source=2gis,,,,,,,,,,,,https://vk.com/chizhik.club,,,,,,,,,,,,,,,,,,70000001093123298,55.860997,37.695212,4504235282636167,,,613,70000001046125844,Чижик,супермаркет,Супермаркеты,mart,1,7,2026-07-05T12:23:11Z,,0,32,https://2gis.com/firm/70000001093123298,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Супер Лента,супермаркет,Супермаркеты,"улица Дудинка, 2 к1",1 этаж,129337,,Ярославский,Москва,,Москва,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.7,101,84957774111 (горячая линия: круглосуточно),88007004111 (горячая линия: круглосуточно),,info@lenta.com,,,http://lentaapp.go.link/main?adj_t=1ovv6zw6&adj_deep_link=lentochka%3A%2F%2Fmain&adj_fallback=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps&adj_redirect_macos=https%3A%2F%2Flenta.com%2F%3Futm_campaign%3Dmaps_free%26utm_medium%3Drefferal%26utm_source%3D2gis.maps,http://max.ru/lentacom,,,,,,,,,,,https://vk.com/lentacom,,,,,,,,,https://t.me/lenta_promobot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,,,,,70000001058983701,55.862075,37.689222,4504235282634278,,,139,70000001058978863,Супер Лента,супермаркет,Супермаркеты,mart,1,13,2026-05-05T05:57:04Z,,0,32,https://2gis.com/firm/70000001058983701,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Eurospar,супермаркет,Супермаркеты; Доставка продуктов,"Ярославское шоссе, 115",,129347,,Ярославский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,574,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,,http://myspar.ru,,,,,,,,,,,,https://vk.com/spar.russia,,,,,,,,,https://t.me/myspar,,,,,,,,,70000001031417551,55.871789,37.710915,4504235282574904,,,55,70000001028701845,Eurospar,супермаркет,Супермаркеты,mart,2,13,2026-07-10T18:32:05Z,,0,32,https://2gis.com/firm/70000001031417551,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Верный,универсам,Супермаркеты,"улица Красная Сосна, 3",1 этаж,129337,,Ярославский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,20,88126010110,,,,,,http://verno-info.ru,,,,,,,,,,,,https://vk.com/verny_official,,,,,,,,,,,,,,,,,,70000001082375564,55.850588,37.6817,70030076173077132,,,539,4504137598364786,Верный,универсам,Супермаркеты,mart,1,9,2026-07-09T15:25:00Z,,0,32,https://2gis.com/firm/70000001082375564,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"улица Красная Сосна, 2а",1 этаж,129337,,Ярославский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,56,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001044499307,55.850805,37.679464,4504235282594838,ТЦ Компас,70030076457391866,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,12,2026-06-22T08:05:35Z,,0,32,https://2gis.com/firm/70000001044499307,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов,"Ярославское шоссе, 28",1 этаж,129337,,Ярославский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,78,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,70000001044838806,55.860639,37.693304,4504235282636164,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,2,14,2026-06-22T08:05:41Z,,0,32,https://2gis.com/firm/70000001044838806,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Светофор,супермаркет,Супермаркеты,"Ярославское шоссе, 146 к1",-1 этаж,129347,,Ярославский,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.6,21,89284376133,,,,,,http://msk-yaroslavskoe.svetoforonline.ru/content/kontakti,http://svetoforonline.ru/content/kontakti,http://msk-yaroslavskoe.svetoforonline.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001066579991,55.877633,37.729403,4504235311888123,ТДЦ Ханой-Москва,70030076415448014,71,70000001029494343,Светофор,супермаркет,Супермаркеты,mart,1,5,2026-06-23T05:29:19Z,,0,32,https://2gis.com/firm/70000001066579991,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов,"Ярославское шоссе, 12 к2",1 этаж,129337,,Ярославский,Москва,,Москва,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,4.5,80,88002009555 (многоканальный),,,info@x5.ru,,,http://perekrestok.ru/?utm_source=2gis_maps&utm_medium=display&utm_campaign=maps_wo_promo&utm_content=main_url,http://max.ru/perekrestok_shop,,,,,,,,,,,https://vk.com/perekrestok_shop,,,,,,,,,https://t.me/+rHsiEm_QR3EwNTky,,,,,,,,,70000001029894346,55.853935,37.68211,4504235282574444,,,487,4504136498303078,Перекрёсток,супермаркет,Супермаркеты,mart,2,13,2026-06-27T05:12:07Z,,0,32,https://2gis.com/firm/70000001029894346,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
Пятёрочка,супермаркет,Супермаркеты,"Ярославское шоссе, 12 к2",1 этаж,129337,,Ярославский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,31,88007700400,,,info@x5.ru,,,http://5ka.ru/catalog?utm_source=2gis&utm_medium=cpm&utm_campaign=000161-17_igronik_media_5ka_promo_04_2026%7Cformat_banner%7Ctype_banner&utm_content=%7Ccreo_1&utm_term,http://max.ru/tspyaterochka,,,,,https://twitter.com/pyaterochka,,,,,,https://vk.com/pyaterochka_shop,,,,,,,,,,,,,,,,,,4504127909809015,55.854961,37.683476,4504235282574444,,,3347,4504136498316193,Пятёрочка,супермаркет,Супермаркеты,mart,1,13,2026-06-22T08:07:42Z,,0,32,https://2gis.com/firm/4504127909809015,branch,42,https://2gis.ru/moscow/search/Супермаркеты/rubricId/350/filters/district_id=4504209512726562
