Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Вильнюсская улица, 7 к2",,117574,,Ясенево,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.7,39,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001061259924,55.602611,37.524858,4504235282561210,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-07-03T03:29:17Z,,0,32,https://2gis.com/firm/70000001061259924,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"Новоясеневский проспект, 22 к1",1 этаж,117574,,Ясенево,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.8,39,88007777290,84957775190 (доп.7691),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001022300593,55.606885,37.526878,4504235282561261,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,4,2026-07-09T13:23:12Z,,0,32,https://2gis.com/firm/70000001022300593,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Паустовского, 5 к1",1 этаж,117463,,Ясенево,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,2,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001091218317,55.599809,37.540694,4504235282558133,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,4,2026-07-07T13:29:27Z,,0,32,https://2gis.com/firm/70000001091218317,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"проезд Одоевского, 7 к7",1 этаж,117574,,Ясенево,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,3.9,7,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001030820412,55.599381,37.511008,4504235282561148,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,5,2026-07-03T03:29:18Z,,0,32,https://2gis.com/firm/70000001030820412,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"Вильнюсская улица, 3а",,117574,,Ясенево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.7,45,88003017755,,,,,,http://winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001036726304,55.604665,37.523345,4504235282602891,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,6,2026-07-07T13:35:49Z,,0,32,https://2gis.com/firm/70000001036726304,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Авокадо,минимаркет,Продуктовые магазины,"Ясногорская улица, 9 к2",,117588,,Ясенево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,8,88002007575,,,,,,http://авокадо.рф,http://max.ru/avocado_grocery_stores,,,,,,,,,,,,,,,,,,,,https://t.me/avocadoswnn,,,,,,,,,70000001050405735,55.60768,37.539185,4504235282579196,,,687,70000001041565312,Авокадо,минимаркет,Продуктовые магазины,shop,1,6,2026-07-07T15:10:45Z,,0,32,https://2gis.com/firm/70000001050405735,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Магазин продуктов,,Продуктовые магазины,"Новоясеневский проспект, 2Б",,117574,,Ясенево,Москва,,Москва,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,3.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001021126948,55.617013,37.508561,4504235310823034,,,1,70000001021126947,Магазин продуктов,Магазин продуктов,Продуктовые магазины,shop,1,4,2026-02-07T11:12:36Z,,0,32,https://2gis.com/firm/70000001021126948,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Asia shop,магазин,Продуктовые магазины,"Голубинская улица, 16",2 этаж,117463,,Ясенево,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,1.0,1,89680495215,89688583950,,,,,,,,,,,,,,,,,https://vk.com/asia_shop_msk,,,,,,,,,,,,,,,,,,70000001096858757,55.598211,37.527202,4504235282564208,МФК Мореон,,1,70000001096858756,Asia shop,магазин,Продуктовые магазины,shop,1,3,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001096858757,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Продуктовый магазин,,Продуктовые магазины,"улица Айвазовского, вл3 ст1",,117593,,Ясенево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001069416309,55.618017,37.543062,70030076190497404,,,1,70000001069416308,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,7,2025-10-29T11:57:29Z,,0,32,https://2gis.com/firm/70000001069416309,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
Магазин продуктов,,Продуктовые магазины,"улица Паустовского, 8 к3",1 этаж,117463,,Ясенево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 10:00-22:00,+03:00,5.0,4,89854766320,,,,,,,,,,,,,,,,,,,,,https://wa.me/79854766320,,,,,,,,,,,,,,,70000001046836355,55.600071,37.536043,4504235282558543,,,1,70000001046836348,Магазин продуктов,Магазин продуктов,Продуктовые магазины,shop,1,6,2026-05-12T11:57:16Z,,0,32,https://2gis.com/firm/70000001046836355,branch,28,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726620
