Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Деликатеска,устричный бар-гастроном,Кафе; Доставка еды; Быстрое питание; Бары; Рыба и морепродукты,"улица Архитектора Щусева, 4 к1",1 этаж,115432,,Даниловский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,36,89917271660,,,mail@delikateska.ru,,http://delikateska.ru,http://dzen.ru/delikateska,http://rutube.ru/channel/23890568,,https://vk.com/delikateska,,,,,https://t.me/delikateska_ru,,,70000001090163720,55.697829,37.633577,70030076199654883,,,13,70000001100793064,Деликатеска,устричный бар-гастроном,Доставка еды,fastfood,5,22,2026-07-01T21:36:23Z,,0,32,https://2gis.com/firm/70000001090163720,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Му-Му,кафе,Кафе; Доставка еды; Быстрое питание; Кулинарии; Столовые; Кейтеринг,"Манежная площадь, 1 ст2",-2 этаж; Средний уровень,125009,,Тверской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,1070,89851298276,,,dostavka@cafemumu.ru,fastland@cafemumu.ru,http://cafemumu.ru,,,,https://vk.com/cafemumu,https://wa.me/74957818781,,,,https://t.me/mumuchatbot,,,70000001007179642,55.755301,37.614586,4504235282987293,Охотный ряд,4504694860765008,18,4504136498368318,Му-Му,кафе,Кафе,fastfood,6,31,2026-07-04T19:01:23Z,,0,32,https://2gis.com/firm/70000001007179642,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Дублинец,ирландский паб,Кафе; Бары,"Никольская улица, 10",2 этаж,109012,,Тверской,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-24:00,+03:00,4.8,162,84959660906,,,irishman@dublinerpub.ru,,http://dublinerpub.ru,,,,https://vk.com/dublinerpub,,,,,,,,70000001035840049,55.757686,37.624549,4504235282744992,Никольская Плаза,4504694886156774,2,70000001035840048,Дублинец,ирландский паб,Бары,bar,2,35,2026-06-16T17:47:07Z,,0,32,https://2gis.com/firm/70000001035840049,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Шон О`Нилл,ирландский паб,Кафе; Бары,"улица Кузнецкий Мост, 11 ст1","1, мансардный этаж",107031,,Мещанский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-24:00,+03:00,4.8,304,84951530966,,,,,http://oneillspub.ru,,,,https://vk.com/seanoneillpub,,,,,,,,70000001023156072,55.76204,37.621858,4504235282761402,,,1,70000001023156071,Шон О`Нилл,ирландский паб,Бары,bar,2,40,2026-06-01T16:38:30Z,,0,32,https://2gis.com/firm/70000001023156072,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Special,кофейня,Кафе; Кофейни,"Сельскохозяйственная улица, вл35 к6",,129323,,Останкинский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,1,89151258503,,,,,http://onespecial.ru/,,,,,,,,,,,,70000001114794591,55.853864,37.623471,70030076195138420,,,1,70000001115608348,Special,кофейня,Кофейни,cafe,2,4,2026-06-16T06:55:17Z,,0,32,https://2gis.com/firm/70000001114794591,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Мегрелия,ресторан грузинской кухни,Кафе; Рестораны; Доставка еды; Банкетные залы,"улица Большие Каменщики, 1",1 этаж,109044,,Таганский,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.8,492,89251132311,,,info@megrelia.ru,,http://megrelia.ru,,,,https://vk.com/megrelia_rest,https://wa.me/79251132311,,,viber://chat/?number=79251132311,https://t.me/+79251132311,,,70000001041081959,55.739787,37.654053,4504235282697123,,,3,70000001042709619,Мегрелия,ресторан грузинской кухни,Рестораны,food_restaurant,4,51,2026-05-12T11:43:49Z,,0,32,https://2gis.com/firm/70000001041081959,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Академия,кафе-пиццерия,Кафе; Доставка еды; Пиццерии,"Бутиковский переулок, 7",1 этаж,119034,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,5.0,170,84954094047,84957374047,,butk.manager@academiya.info,,http://academiya.ru,,,,,,,,,,,,4504127908574153,55.737948,37.601916,4504235282774400,БЦ Бутик-Офис,,5,4504136498283646,Академия,кафе-пиццерия,Кафе,pizza,3,50,2026-06-23T11:46:28Z,,0,32,https://2gis.com/firm/4504127908574153,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Майкл Коллинз,ирландский паб,Кафе; Бары; Доставка еды,"Цветной бульвар, 21 ст2",цокольный этаж,127051,,Тверской,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-24:00 (служба доставки: пн-вс 12:00-22:00),+03:00,4.9,182,84951659008,,,general@collinspub.ru,,http://collinspub.ru,,,,https://vk.com/collinspubmoscow,,,,,,,,70000001035056426,55.771949,37.62017,4504235282985316,,,1,70000001035056425,Майкл Коллинз,ирландский паб,Бары,bar,3,33,2025-12-03T17:42:01Z,,0,32,https://2gis.com/firm/70000001035056426,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Мустафа Кебаб,бистро,Кафе; Быстрое питание; Доставка еды,"Большая Татарская улица, 24",1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,102,89014175703,,,info@mustafakebab.ru,,,,,,https://vk.com/mustafa_kebab,,,,,,,,70000001034780023,55.740055,37.632885,4504235282701714,,,1,70000001034780022,Мустафа Кебаб,бистро,Быстрое питание,fastfood,3,31,2026-06-24T18:13:59Z,,0,32,https://2gis.com/firm/70000001034780023,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Dizengof/99,кафе,Кафе,"Покровский бульвар, 8 ст1а",1 этаж,109028,,Басманный,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,5.0,1829,89295698225,,,dizengof99.marketing@gmail.com,,http://t.me/shabbatnonstop,,,,,,,,,https://t.me/shabbatnonstop,,,70000001031788844,55.757196,37.646907,4504235282744190,,,6,70000001021034069,Dizengof/99,кафе,Кафе,cafe,1,23,2026-06-09T15:54:27Z,,0,32,https://2gis.com/firm/70000001031788844,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Старик и море,ресторан рыбной кухни,Кафе; Рестораны; Доставка еды,"Чистопрудный бульвар, 12а ст1",1 этаж,101000,,Басманный,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,664,89037909805,,,,,http://simo.rest,,,,,,,,,,,,70000001035649136,55.760648,37.643999,4504235282745384,,,2,70000001035649135,Старик и море,ресторан рыбной кухни,Рестораны,food_restaurant,3,24,2026-06-10T11:05:01Z,,0,32,https://2gis.com/firm/70000001035649136,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Пушкинъ у фонтана,кафе,Кафе; Кондитерские изделия,"Красная площадь, 3",1 этаж,109012,,Тверской,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.5,81,84950250033,,,info-gum@cafe-pushkin.ru,,http://gum.cafe-pushkin.ru/,http://t.me/cafepushkin_official,,,https://vk.com/cafepushkin_gum,,,,,,,,70000001051329321,55.754776,37.621637,4504235282742224,ГУМ,70030076157363269,1,70000001056865475,Пушкинъ у фонтана,кафе,Кафе,cafe,2,32,2026-06-14T12:57:34Z,,0,32,https://2gis.com/firm/70000001051329321,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Shibainu fusion cafe,ресторан,Кафе; Суши-бары; Доставка еды; Бары; Рестораны,"Ленинградский проспект, 29 к4",1 этаж,125284,,Беговой,Москва,,Москва,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.9,102,84951497999,,,shibasushi@yandex.ru,,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fshibasushibar.ru%2F&back=https%3A%2F%2F2gis.ru%2Fmoscow%2Fgeo%2F70000001080132516&mode=0,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fvk.com%2Fshibainucafe&back=https%3A%2F%2Fgo.2gis.com%2FCGngP&mode=0,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Ft.me%2Fshibainu_cafe&back=https%3A%2F%2Fgo.2gis.com%2FCGngP&mode=0,,,,,,,,,,70000001080132516,55.784539,37.560878,70030076143692321,,,2,70000001097434080,Shibainu cloud 9,,Кафе,sushi,5,51,2026-03-31T11:03:09Z,,0,32,https://2gis.com/firm/70000001080132516,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Козловица,чешская пивная,Кафе; Бары; Доставка еды; Рестораны,"Пятницкая улица, 29",2 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.4,124,84951527481,84950659761,,pyatniskaya@kozlovica.ru,,http://t.me/pilsnermoscow,http://t.me/kozlovnakozlovica,http://kozlovna.ru,,https://vk.com/kozlovna.kozlovica,https://wa.me/79636577045,,,,,,,4504128908766878,55.740896,37.629073,4504235282709568,,,4,70000001091858557,Козловица,чешская пивная,Бары,bar,4,33,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504128908766878,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Blanc de blancs cafe,французское кафе,Кафе; Рестораны; Доставка еды; Организация праздников; Кейтеринг,"Люсиновская улица, 36/50",1 этаж,115093,,Замоскворечье,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.8,85,84956659242,,,blandeblancafe@mail.ru,,http://blanc-de-blancs.ru/,,,,https://vk.com/blancdeblancscafe,https://wa.me/79299159848,,,viber://chat/?number=79299159848,https://t.me/+79299159848,,,4504128908650508,55.721777,37.621716,4504235282584928,,,1,4504137598476125,Blanc de blancs cafe,французское кафе,Рестораны,food_restaurant,5,57,2026-05-16T12:15:21Z,,0,32,https://2gis.com/firm/4504128908650508,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Чанчан&Чалэнд,китайское кафе,Кафе; Доставка еды,"Лесная улица, 1/2",1 этаж,125196,,Тверской,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,459,89777531817,,,info@chanchan.ru,,http://chanchan.ru,,,,,,,,,,,,70000001033130835,55.776784,37.585619,4504235282746385,,,2,70000001033130834,Чанчан&Чалэнд,китайское кафе,Кафе,cafe,2,29,2026-04-07T12:08:30Z,,0,32,https://2gis.com/firm/70000001033130835,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
